Numero de iteracoes: 17
Erro: 1.3286e-07
Tempo de Resolucao do Problema: 340.205 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	0.000587742	0.000400319	0.000251085	0.000159651	0.000299868	5.28708e-05	3.27787e-05	2.07817e-05	1.36778e-05	1.96672e-05	5.09412e-06	3.36467e-06	2.27464e-06	1.58322e-06	1.14519e-06	8.75496e-07	7.3567e-07	1.38825e-06	0	0	
0.2	0.000609071	0.000424225	0.000271782	0.000176325	0.000328233	6.09754e-05	3.85962e-05	2.49765e-05	1.67656e-05	2.39272e-05	6.52539e-06	4.40133e-06	3.03773e-06	2.15722e-06	1.58958e-06	1.23349e-06	1.04241e-06	2.83091e-06	0	0	
0.4	0.000630914	0.000448868	0.000293276	0.000193671	0.000358019	6.98751e-05	4.50855e-05	2.9722e-05	2.02936e-05	2.88556e-05	8.25182e-06	5.67597e-06	3.9952e-06	2.89424e-06	2.17768e-06	1.73061e-06	1.51077e-06	2.789e-06	0	0	
0.6	0.000653418	0.00047467	0.000316197	0.00021249	0.000390206	8.00319e-05	5.26438e-05	3.53587e-05	2.45611e-05	3.47974e-05	1.04336e-05	7.31622e-06	5.24705e-06	3.8689e-06	2.95668e-06	2.37575e-06	2.07483e-06	6.43891e-06	0	0	
0.8	0.000676698	0.00050188	0.000340834	0.000233058	0.000425221	9.16342e-05	6.14379e-05	4.20344e-05	2.96981e-05	4.19424e-05	1.31825e-05	9.42684e-06	6.89575e-06	5.18902e-06	4.0535e-06	3.3435e-06	3.03128e-06	5.32851e-06	0	0	
1	0.00070085	0.000530678	0.000367397	0.0002556	0.000463405	0.000104913	7.1693e-05	4.99614e-05	3.59009e-05	5.05514e-05	1.66414e-05	1.21257e-05	9.03103e-06	6.90925e-06	5.47182e-06	4.54896e-06	4.10254e-06	1.49437e-05	0	0	
1.2	0.000725956	0.000561217	0.000396083	0.000280349	0.000505112	0.000120134	8.36701e-05	5.93908e-05	4.34078e-05	6.09473e-05	2.10242e-05	1.56233e-05	1.18714e-05	9.27525e-06	7.52016e-06	6.43806e-06	6.06441e-06	9.48081e-06	0	0	
1.4	0.000752091	0.000593637	0.000427093	0.000307549	0.000550705	0.00013758	9.76522e-05	7.05949e-05	5.24736e-05	7.34779e-05	2.6524e-05	2.00721e-05	1.5515e-05	1.23063e-05	1.00907e-05	8.67087e-06	8.06785e-06	3.55479e-05	0	0	
1.6	0.000779318	0.000628067	0.000460631	0.000337464	0.000600582	0.000157593	0.000113989	8.39231e-05	6.34438e-05	8.86156e-05	3.35006e-05	2.58566e-05	2.03984e-05	1.65404e-05	1.39144e-05	1.23625e-05	1.2101e-05	1.44998e-05	0	0	
1.8	0.000807696	0.000664598	0.000496852	0.000370319	0.000655079	0.00018054	0.000133068	9.97633e-05	7.6689e-05	0.000106861	4.22171e-05	3.31524e-05	2.65681e-05	2.18229e-05	1.85026e-05	1.64116e-05	1.57356e-05	8.69078e-05	0	0	
2	0.000837271	0.000703243	0.000535721	0.000406019	0.000714205	0.000206547	0.000155059	0.000118327	9.24556e-05	0.000128636	5.31402e-05	4.25536e-05	3.48145e-05	2.92638e-05	2.55144e-05	2.35009e-05	2.38796e-05	1.32726e-05	0	0	
2.2	0.000877742	0.000757592	0.000591796	0.000458909	0.000800301	0.000246602	0.00018969	0.000148201	0.000118368	0.000163978	7.1676e-05	5.86674e-05	4.89587e-05	4.18317e-05	3.68557e-05	3.39516e-05	3.38435e-05	0.000219409	0	0	
