Numero de iteracoes: 13
Erro: 2.578e-07
Tempo de Resolucao do Problema: 224.953 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	1.85948	0.0347365	0.0169816	0.0101764	0.00999459	0.00501282	0.00377253	0.00295074	0.00237554	0.00235687	0.00165681	0.00140745	0.00121223	0.0010559	0.000928546	0.000823305	0.00073527	0.000660841	0.000597318	0.000542647	
0.2	1.89126	0.0379723	0.0190933	0.0117243	0.0113734	0.00601792	0.00461385	0.00367192	0.00300487	0.00296249	0.00215967	0.00186102	0.00162503	0.00143435	0.00127765	0.00114707	0.00103695	0.000943108	0.000862406	0.000792433	
0.4	1.93519	0.0403094	0.0204481	0.0126208	0.0122169	0.00650658	0.00499308	0.00397478	0.00325206	0.00321242	0.00233415	0.00200928	0.00175236	0.00154463	0.00137384	0.00123146	0.00111136	0.001009	0.000920961	0.000844632	
0.6	1.99077	0.0422021	0.0215313	0.0133492	0.012893	0.0069321	0.00533771	0.00426241	0.00349747	0.00345365	0.00252332	0.0021772	0.00190298	0.00168085	0.00149791	0.00134515	0.00121608	0.00110593	0.00101105	0.000928671	
0.8	2.05854	0.0438511	0.0224812	0.01399	0.0134847	0.00729597	0.00562474	0.00449439	0.00368838	0.00364492	0.00265918	0.0022928	0.00200225	0.00176672	0.00157265	0.00141054	0.00127356	0.00115664	0.00105595	0.000968542	
1	2.14014	0.0453473	0.0233451	0.0145703	0.0140184	0.00762234	0.00588302	0.00470506	0.00386441	0.00381872	0.00279031	0.00240779	0.00210438	0.0018584	0.00165567	0.0014863	0.00134315	0.00122093	0.00111564	0.00102421	
1.2	2.23848	0.0467294	0.0241413	0.0151025	0.0145049	0.00792029	0.0061187	0.00489671	0.00402348	0.00397535	0.00290561	0.00250703	0.00219058	0.00193382	0.00172207	0.00154508	0.00139542	0.00126761	0.00115747	0.00106183	
1.4	2.35818	0.0480018	0.0248732	0.0155894	0.0149461	0.00819151	0.00633412	0.00507323	0.00417165	0.00411894	0.00301662	0.00260479	0.00227775	0.00201236	0.00179346	0.00161047	0.00145573	0.00132355	0.00120965	0.00111071	
1.6	2.5063	0.049128	0.025523	0.0160209	0.0153322	0.00842632	0.00651762	0.0052207	0.00429279	0.00423628	0.00310284	0.00267875	0.00234188	0.00206846	0.00184291	0.00165435	0.00149488	0.00135867	0.00124127	0.00113931	
1.8	2.69346	0.0499896	0.026017	0.0163534	0.0156201	0.00861597	0.00667071	0.00534791	0.00440092	0.0043374	0.00318521	0.00275203	0.00240782	0.00212837	0.00189782	0.00170504	0.001542	0.00140272	0.00128268	0.0011784	
2	2.93556	0.0502793	0.0260824	0.0163384	0.0156189	0.00854653	0.00659542	0.00527064	0.00432379	0.00426591	0.0031102	0.00267959	0.00233793	0.00206099	0.00183288	0.00164245	0.00148164	0.00134448	0.00122644	0.00112406	
2.2	3.22992	0.051059	0.0264504	0.0165391	0.0157973	0.00861126	0.00663115	0.00528737	0.00432765	0.0042679	0.00309776	0.00266285	0.00231803	0.0020388	0.00180903	0.00161744	0.00145582	0.00131813	0.00119977	0.00109725	
2.4	3.43594	0.0521366	0.0270798	0.0169717	0.0161661	0.00886693	0.00683987	0.00546236	0.00447737	0.00440695	0.00321268	0.0027652	0.00241006	0.00212224	0.00188521	0.00168742	0.00152046	0.00137813	0.0012557	0.00114958	
2.6	3.58196	0.0531457	0.0276516	0.0173497	0.0164977	0.00907196	0.00700019	0.00559124	0.00458326	0.00450741	0.00328779	0.00282966	0.00246596	0.00217115	0.00192836	0.00172574	0.0015547	0.00140888	0.00128347	0.00117477	
2.8	3.68495	0.0539825	0.0281143	0.0176547	0.0167659	0.00924383	0.00713867	0.00570643	0.00468138	0.00459946	0.00336289	0.00289651	0.00252608	0.00222567	0.00197814	0.00177147	0.00159693	0.00144807	0.00131998	0.00120891	
3	3.75504	0.0546211	0.0284579	0.0178789	0.0169638	0.009368	0.0072372	0.0057868	0.00474826	0.00466291	0.00341135	0.00293839	0.00256259	0.00225774	0.00200649	0.00179667	0.00161945	0.00146827	0.00133818	0.00122535	
3.2	3.79821	0.0550576	0.02868	0.0180198	0.0170889	0.00944463	0.00729827	0.00583724	0.00479108	0.00470284	0.00344412	0.00296769	0.0025891	0.00228193	0.00202875	0.00181729	0.00163864	0.00148623	0.00135505	0.00124125	
3.4	3.81773	0.055292	0.0287799	0.0180766	0.01714	0.00947278	0.00732039	0.00585538	0.00480636	0.00471653	0.00345537	0.00297749	0.00259765	0.00228941	0.00203527	0.00182297	0.00164358	0.00149051	0.00135874	0.00124442	
3.6	3.81504	0.0553238	0.0287563	0.0180482	0.017116	0.00945183	0.00730328	0.00584147	0.00479507	0.00470435	0.00344784	0.00297147	0.00259288	0.00228569	0.00203243	0.00182088	0.00164214	0.00148961	0.0013583	0.00124438	
