Numero de iteracoes: 13
Erro: 2.54018e-07
Tempo de Resolucao do Problema: 223.227 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	1.86447	0.0349928	0.0171042	0.0102501	0.010067	0.00504836	0.00379906	0.0029713	0.00239194	0.0023736	0.00166803	0.00141689	0.00122029	0.00106286	0.000934621	0.000828653	0.000740016	0.000665083	0.000601135	0.000546104	
0.1	1.88367	0.0365617	0.0181602	0.0110461	0.0107631	0.00558918	0.00426041	0.00337341	0.00274809	0.00271305	0.00195983	0.00168299	0.00146491	0.00128918	0.00114515	0.00102541	0.000924667	0.000839001	0.000765478	0.000701851	
0.2	1.90554	0.0379713	0.0190616	0.0116927	0.0113449	0.00598856	0.00458603	0.00364504	0.00297862	0.00293919	0.00213398	0.0018357	0.00160004	0.00140965	0.00125323	0.00112293	0.00101308	0.000919525	0.000839105	0.000769417	
0.3	1.93012	0.0392495	0.0198462	0.0122357	0.0118432	0.00630524	0.00483868	0.00385212	0.00315198	0.00311099	0.00226284	0.00194826	0.00169954	0.00149849	0.00133325	0.00119554	0.00107942	0.000980498	0.000895449	0.000821735	
0.4	1.95749	0.0404189	0.0205418	0.0127059	0.0122797	0.00657151	0.00504955	0.00402423	0.0032958	0.00325384	0.00236975	0.0020417	0.00178217	0.00157225	0.00139961	0.00125564	0.00113416	0.00103059	0.000941481	0.000864192	
0.5	1.98775	0.0414976	0.0211691	0.0131239	0.0126701	0.00680546	0.00523463	0.00417532	0.00342209	0.00337927	0.00246356	0.00212357	0.0018544	0.00163653	0.00145723	0.00130762	0.0011813	0.00107354	0.000980789	0.0009003	
0.6	2.02103	0.0425	0.0217432	0.0135037	0.0130252	0.00701746	0.00540248	0.0043124	0.00353664	0.00349299	0.00254839	0.00219742	0.00191938	0.0016942	0.00150877	0.00135397	0.00122322	0.00111164	0.00101557	0.000932177	
0.7	2.05747	0.0434373	0.0222752	0.0138547	0.0133529	0.0072136	0.00555791	0.00443933	0.00364261	0.00359812	0.00262659	0.00226536	0.00197904	0.00174704	0.00155592	0.00139632	0.00126146	0.00114636	0.00104722	0.000961163	
0.8	2.09723	0.0443181	0.022773	0.0141833	0.0136585	0.00739755	0.00570374	0.00455837	0.0037419	0.00369648	0.00269966	0.00232879	0.00203469	0.00179629	0.00159984	0.00143574	0.00129705	0.00117866	0.00107668	0.000988134	
0.9	2.14053	0.0451484	0.0232421	0.0144936	0.0139456	0.00757155	0.00584169	0.00467093	0.00383572	0.00378923	0.00276861	0.00238863	0.00208718	0.00184276	0.00164128	0.00147295	0.00133067	0.00120919	0.00110453	0.00101366	
1	2.18759	0.0459322	0.0236858	0.0147881	0.0142166	0.00773686	0.00597276	0.00477783	0.00392482	0.00387705	0.00283406	0.00244546	0.00213707	0.00188695	0.00168074	0.00150842	0.00136274	0.00123834	0.00113117	0.00103809	
1.1	2.23866	0.0466713	0.0241059	0.015068	0.0144726	0.0078941	0.0060974	0.00487949	0.00400955	0.00396029	0.00289635	0.0024996	0.00218465	0.00192916	0.00171847	0.00154238	0.00139349	0.00126634	0.00115678	0.00106163	
1.2	2.29404	0.0473654	0.0245026	0.0153333	0.0147136	0.00804326	0.00621566	0.00497595	0.00408998	0.00403898	0.00295553	0.0025511	0.00222998	0.00196941	0.00175451	0.00157488	0.00142297	0.00129323	0.00118142	0.00108431	
1.3	2.35407	0.048012	0.0248744	0.015583	0.0149387	0.00818377	0.00632709	0.00506685	0.00416579	0.00411283	0.00301135	0.00259974	0.00227284	0.00200755	0.00178871	0.00160576	0.00145104	0.00131887	0.00120497	0.00110603	
1.4	2.41912	0.0486063	0.0252178	0.0158146	0.015146	0.00831434	0.00643068	0.00515136	0.00423628	0.00418117	0.00306325	0.002645	0.00231277	0.00204311	0.00182065	0.00163465	0.00147733	0.00134294	0.00122711	0.00112649	
1.5	2.4896	0.049141	0.0255276	0.0160242	0.0153318	0.00843267	0.00652463	0.00522802	0.00430021	0.0042428	0.00311024	0.00268598	0.00234893	0.00207533	0.00184961	0.00166087	0.00150122	0.00136484	0.00124728	0.00114516	
1.6	2.56597	0.0496055	0.0257955	0.0162055	0.0154912	0.00853495	0.00660592	0.00529436	0.00435549	0.00429574	0.00315071	0.00272123	0.00237999	0.00210297	0.00187442	0.00168332	0.00152168	0.00138359	0.00126457	0.00116117	
1.7	2.64876	0.049986	0.0260104	0.0163491	0.0156165	0.00861488	0.00666937	0.00534608	0.00439854	0.0043365	0.00318197	0.00274837	0.0024038	0.00212406	0.00189326	0.00170029	0.00153707	0.00139764	0.00127748	0.00117311	
1.8	2.73855	0.0502642	0.0261563	0.0164413	0.0156971	0.00866185	0.00670582	0.00537528	0.0044225	0.00435863	0.00319887	0.0027629	0.00241641	0.00213509	0.00190298	0.00170889	0.00154472	0.00140449	0.00128362	0.00117864	
1.9	2.83597	0.0504168	0.0262116	0.0164616	0.015718	0.00865757	0.00669825	0.00536623	0.00441296	0.00434893	0.00318939	0.00275399	0.0024081	0.00212739	0.00189587	0.00170236	0.00153874	0.00139901	0.00127863	0.00117408	
2	2.94173	0.0504144	0.0261468	0.0163797	0.015658	0.00856979	0.00661385	0.00528566	0.00433632	0.00427839	0.00311947	0.00268767	0.00234506	0.00206735	0.0018386	0.00164765	0.00148639	0.00134885	0.0012305	0.00112784	
2.1	3.07357	0.0506798	0.0262481	0.0164155	0.0156962	0.00855403	0.00658868	0.005255	0.00430248	0.0042464	0.00308234	0.00265045	0.00230803	0.00203073	0.00180253	0.00161221	0.00145165	0.00131483	0.00119721	0.0010953	
2.2	3.19066	0.0510448	0.0264374	0.0165325	0.0157971	0.00861168	0.00663308	0.00529055	0.00433185	0.00427222	0.00310365	0.00266922	0.00232479	0.00204588	0.00181635	0.00162494	0.00146346	0.00132586	0.00120756	0.00110506	
