Numero de iteracoes: 13
Erro: 2.58721e-07
Tempo de Resolucao do Problema: 811.366 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	1.86267	0.0347181	0.0169735	0.0101724	0.00998959	0.00501154	0.00377179	0.00295031	0.00237532	0.00235646	0.00165681	0.00140752	0.00121235	0.00105605	0.000928725	0.000823505	0.000735489	0.000661075	0.000597565	0.000542905	
0.25	1.87916	0.0370394	0.0184912	0.0112878	0.010982	0.00574077	0.00438409	0.00347682	0.00283617	0.00279855	0.00202716	0.00174247	0.00151799	0.00133696	0.00118846	0.00106493	0.000960926	0.000872439	0.000796454	0.000730665	
0.5	1.90226	0.0386942	0.0194603	0.0119385	0.0115888	0.00610796	0.00467427	0.00371285	0.0030324	0.00299428	0.00217081	0.00186687	0.00162688	0.0014331	0.00127399	0.0011415	0.00102985	0.000934789	0.0008531	0.000782328	
0.75	1.93067	0.0400562	0.0202631	0.0124921	0.0120972	0.00644277	0.00494826	0.00394329	0.00323016	0.00318794	0.0023244	0.00200356	0.00174973	0.00154439	0.00137546	0.00123457	0.00111564	0.00101423	0.000926956	0.00085124	
1	1.96369	0.0412609	0.0209753	0.0129784	0.0125465	0.00672201	0.0051692	0.00412252	0.00337835	0.0033364	0.00243124	0.00209519	0.00182911	0.00161374	0.00143648	0.00128858	0.00116371	0.0010572	0.000965537	0.000886005	
1.25	2.00104	0.0423628	0.0216234	0.013417	0.0129528	0.00697245	0.00536877	0.00428645	0.00351617	0.003473	0.00253485	0.00218619	0.00190997	0.00168625	0.00150202	0.00134821	0.00121828	0.0011074	0.00101193	0.00092905	
1.5	2.04268	0.0433876	0.022222	0.0138196	0.0133258	0.00720018	0.00554899	0.00443298	0.00363772	0.00359423	0.00262302	0.00226202	0.00197581	0.00174386	0.00155276	0.00139315	0.00125829	0.00114318	0.00104404	0.000957971	
1.75	2.08879	0.0443492	0.0227804	0.0141939	0.0136718	0.00741081	0.00571567	0.00456876	0.00375084	0.00370646	0.0027065	0.00233474	0.00203994	0.00180098	0.00160409	0.00143962	0.00130064	0.001182	0.00107981	0.000991091	
2	2.13975	0.0452565	0.0233048	0.0145445	0.0139949	0.00760744	0.00587109	0.00469514	0.00385583	0.00381045	0.00278306	0.00240087	0.00209763	0.00185172	0.001649	0.00147962	0.00133643	0.00121417	0.00110884	0.00101737	
2.25	2.19616	0.0461149	0.023799	0.0148745	0.0142977	0.00779201	0.00601702	0.00481393	0.00395472	0.00390788	0.00285581	0.0024642	0.00215344	0.00190141	0.00169363	0.00152002	0.00137326	0.00124795	0.00114	0.00104626	
2.5	2.25896	0.0469278	0.0242653	0.0151854	0.0145814	0.00796549	0.00615421	0.00492558	0.00404759	0.00399899	0.00292373	0.00252306	0.00220497	0.00194691	0.0017341	0.00155623	0.00140583	0.00127738	0.0011667	0.00107058	
2.75	2.32955	0.0476962	0.024704	0.0154773	0.0148461	0.00812796	0.00628282	0.00503047	0.00413517	0.0040842	0.00298852	0.00257972	0.00225514	0.00199178	0.00177459	0.00159305	0.00143954	0.00130844	0.00119548	0.00109737	
3	2.41006	0.0484186	0.0251137	0.0157489	0.0150906	0.0082781	0.00640131	0.00512667	0.00421497	0.00416156	0.00304646	0.00262987	0.00229901	0.00203051	0.00180905	0.00162391	0.00146735	0.00133363	0.00121839	0.0011183	
3.25	2.50382	0.0490877	0.0254898	0.015996	0.0153116	0.00841376	0.00650897	0.00521487	0.00428903	0.00423222	0.00310181	0.00267863	0.00234248	0.00206965	0.00184459	0.00165644	0.00149731	0.00136139	0.00124426	0.00114252	
3.5	2.61613	0.0496821	0.0258214	0.01621	0.0155022	0.00852371	0.00659293	0.00528087	0.00434212	0.00428313	0.00313804	0.00270921	0.0023686	0.00209218	0.0018642	0.00167364	0.00151251	0.00137489	0.00125632	0.00115334	
3.75	2.75553	0.0501379	0.0260735	0.0163747	0.0156437	0.00861188	0.00666234	0.00533718	0.00438891	0.00432642	0.00317212	0.00273903	0.00239502	0.00211585	0.00188562	0.0016932	0.00153051	0.00139159	0.0012719	0.00116797	
4	2.93598	0.0502634	0.0260714	0.0163307	0.0156115	0.00854205	0.00659184	0.0052677	0.00432132	0.0042634	0.00310836	0.00267798	0.00233649	0.00205972	0.00183173	0.00164142	0.00148071	0.00134363	0.00122568	0.00112337	
4.25	3.2452	0.0510247	0.0264391	0.0165374	0.015791	0.00861534	0.00663604	0.00529254	0.00433285	0.00427225	0.0031027	0.0026676	0.00232258	0.00204315	0.00181319	0.00162141	0.00145962	0.00132176	0.00120325	0.00110058	
4.5	3.43626	0.0521067	0.0270748	0.016973	0.0161649	0.00886966	0.00684226	0.00546436	0.00447903	0.00440851	0.00321382	0.00276614	0.00241083	0.00212287	0.00188572	0.00168783	0.00152078	0.00137837	0.00125588	0.00114971	
4.75	3.56823	0.0530413	0.0275901	0.0173065	0.0164601	0.00904608	0.00697938	0.00557419	0.00456906	0.00449378	0.00327756	0.00282086	0.00245834	0.0021645	0.0019225	0.00172056	0.0015501	0.00140478	0.00127979	0.00117146	
5	3.66387	0.0538189	0.0280236	0.0175965	0.0167135	0.00921365	0.00711529	0.00568762	0.00466576	0.00458468	0.00335134	0.00288632	0.00251696	0.00221742	0.00197061	0.00176454	0.00159051	0.00144209	0.00131438	0.00120364	
5.25	3.73268	0.0544358	0.0283585	0.0178141	0.0169066	0.00933095	0.00720706	0.00576157	0.00472675	0.00464275	0.00339507	0.00292407	0.00254991	0.00224645	0.00199638	0.00178759	0.00161126	0.00146086	0.00133145	0.00121924	
5.5	3.77904	0.0548886	0.0285941	0.0179653	0.0170407	0.00941532	0.00727523	0.00581853	0.00477548	0.00468827	0.00343259	0.00295753	0.00258001	0.00227371	0.00202123	0.00181036	0.00163221	0.00148022	0.0013494	0.00123592	
5.75	3.80516	0.0551743	0.0287281	0.018046	0.0171132	0.00945675	0.00730745	0.00584448	0.00479693	0.00470816	0.00344805	0.00297095	0.00259178	0.00228413	0.00203053	0.00181871	0.00163975	0.00148707	0.00135565	0.00124166	
6	3.81208	0.0552903	0.0287588	0.0180558	0.0171229	0.00945842	0.00730868	0.00584582	0.00479853	0.00470849	0.00345002	0.00297311	0.00259407	0.00228649	0.00203291	0.00182108	0.0016421	0.00148936	0.00135788	0.0012438	
6.25	3.80009	0.0552341	0.0286845	0.017993	0.0170685	0.00941783	0.00727587	0.00581896	0.00477627	0.00468581	0.00343399	0.00295941	0.00258224	0.00227618	0.00202386	0.00181308	0.00163498	0.00148301	0.00135217	0.00123866	
6.5	3.76882	0.0550024	0.0285028	0.0178556	0.0169483	0.00933323	0.00720729	0.00576229	0.00472868	0.00463872	0.00339886	0.00292894	0.00255554	0.00225261	0.00200289	0.0017943	0.00161806	0.00146767	0.00133819	0.00122586	
6.75	3.71714	0.054591	0.0282106	0.0176418	0.0167603	0.00920533	0.00710485	0.00567855	0.00465907	0.00456988	0.00334837	0.00288544	0.00251768	0.00221937	0.0019735	0.00176815	0.00159465	0.00144662	0.00131918	0.00120861	
7	3.64276	0.0539931	0.0278027	0.017346	0.0165005	0.00902519	0.0069582	0.0055565	0.00455573	0.00446905	0.00327079	0.00281749	0.0024576	0.00216584	0.00192547	0.00172479	0.00155529	0.0014107	0.00128626	0.00117831	
7.25	3.54119	0.0531969	0.0272714	0.0169662	0.0161652	0.00880091	0.00677833	0.00540889	0.00443234	0.00434801	0.00318029	0.00273902	0.0023889	0.0021052	0.00187157	0.00167659	0.00151196	0.00137156	0.00125076	0.001146	
7.5	3.40273	0.0521811	0.0265963	0.0164754	0.0157365	0.00849749	0.00652954	0.00520033	0.00425445	0.00417574	0.00304481	0.00261945	0.00228239	0.00200959	0.00178518	0.00159807	0.00144022	0.0013057	0.00119004	0.0010898	
7.75	3.20431	0.0509036	0.0257812	0.0158996	0.0152278	0.00815473	0.00625221	0.00497047	0.00406035	0.00398695	0.00289966	0.00249236	0.00217008	0.00190957	0.00169551	0.00151721	0.00136695	0.00123902	0.00112911	0.00103392	
8	2.88613	0.0491977	0.0246428	0.0150659	0.0144974	0.00762532	0.0058124	0.00459652	0.00373667	0.00367573	0.00264554	0.00226473	0.00196432	0.00172217	0.00152374	0.00135889	0.0012203	0.00110258	0.00100167	0.000914472	
8.25	2.40237	0.0459389	0.0225068	0.0135177	0.0131426	0.0066568	0.00501274	0.00392066	0.00315509	0.00311842	0.00219433	0.00186295	0.00160329	0.00139537	0.00122603	0.00108618	0.000969274	0.000870524	0.00078632	0.000713925	
8.5	2.14677	0.0436688	0.0211001	0.012549	0.0122743	0.00610705	0.00457835	0.00356887	0.00286471	0.0028329	0.00198647	0.00168491	0.00144931	0.00126112	0.00110817	0.000982096	0.00087687	0.000788102	0.000712495	0.000647555	
8.75	1.95865	0.0417153	0.019862	0.0116874	0.0115015	0.00561091	0.00418394	0.00324722	0.00259708	0.00257099	0.00179102	0.0015157	0.00130124	0.00113037	0.000991827	0.000877852	0.000782898	0.000702925	0.000634906	0.000576556	
9	1.80901	0.0400384	0.0188415	0.0110056	0.0108763	0.00524602	0.0039032	0.00302523	0.00241772	0.00239257	0.00166694	0.00141101	0.00121185	0.00105329	0.000924774	0.000819072	0.000731015	0.000656842	0.000593744	0.000539599	
9.25	1.68698	0.038563	0.0179386	0.0103965	0.0103191	0.00491196	0.00364296	0.00281671	0.00224686	0.00222421	0.00154515	0.00130667	0.00112138	0.000974037	0.000854744	0.000756712	0.000675104	0.000606407	0.000547995	0.000497892	
9.5	1.58618	0.0372609	0.0171548	0.00988164	0.00984013	0.00464596	0.0034417	0.00265982	0.00212158	0.00209907	0.00145983	0.00123506	0.00106044	0.000921558	0.000809088	0.000716629	0.000639627	0.000574776	0.000519608	0.000472266	
9.75	1.5023	0.036109	0.0164639	0.00942749	0.00941684	0.00440722	0.0032588	0.00251521	0.00200437	0.00198308	0.00137752	0.00116498	0.000999981	0.000868839	0.000762688	0.000675462	0.000602843	0.000541703	0.000489704	0.00044509	
10	1.43228	0.0350907	0.0158576	0.00903511	0.00904677	0.00420942	0.0031108	0.00240087	0.00191367	0.00189229	0.00131613	0.0011135	0.000956135	0.000830998	0.000729653	0.000646329	0.000576923	0.000518458	0.000468711	0.000426012	
10.25	1.37393	0.0341925	0.0153245	0.00869151	0.00872097	0.00403534	0.00297957	0.00229848	0.00183157	0.00181064	0.00125938	0.00106552	0.000915011	0.000795355	0.00069847	0.000618828	0.000552498	0.000496631	0.0004491	0.000408305	
10.5	1.32561	0.0334031	0.0148564	0.0083919	0.00843455	0.00388678	0.0028692	0.00221361	0.00176444	0.00174335	0.00121391	0.00102731	0.00088234	0.000767018	0.000673583	0.000596733	0.000532695	0.000478733	0.000432805	0.000393373	
10.75	1.28608	0.0327121	0.0144463	0.00813103	0.0081831	0.00375866	0.00277423	0.00214065	0.00170678	0.0016855	0.00117508	0.000994924	0.00085496	0.000743615	0.000653399	0.000579191	0.00051735	0.000465233	0.000420868	0.000382773	
11	1.25441	0.0321092	0.0140846	0.00789946	0.00795925	0.00364373	0.00268887	0.00207493	0.00165465	0.00163318	0.0011394	0.000964755	0.000828985	0.000720908	0.000633289	0.000561177	0.000501055	0.000450367	0.000407206	0.000370135	
11.25	1.22984	0.031585	0.0137688	0.00769889	0.00776315	0.00354665	0.00261791	0.0020213	0.00161307	0.0015908	0.00111264	0.000943064	0.000811214	0.000706239	0.000621112	0.000551032	0.000492582	0.000443283	0.000401285	0.000365193	
11.5	1.21182	0.0311204	0.0134756	0.00750549	0.0075761	0.00344554	0.00254116	0.00196092	0.00156417	0.00154193	0.00107785	0.000913155	0.000785074	0.00068308	0.000600356	0.000532245	0.000475431	0.000427509	0.000386684	0.000351602	
11.75	1.19989	0.0307196	0.0132211	0.0073381	0.00741273	0.00335995	0.0024776	0.00191242	0.00152646	0.00150318	0.00105395	0.000894148	0.000769924	0.000671029	0.000590832	0.0005248	0.000469713	0.000423235	0.000383624	0.000349568	
12	1.19357	0.0302386	0.0128861	0.00709547	0.00718603	0.00320791	0.00235266	0.00180665	0.00143491	0.00141466	0.000981238	0.00082866	0.000710336	0.000616372	0.000540368	0.000477951	0.000426015	0.000382311	0.000345163	0.000313308	
12.25	1.19496	0.029756	0.0125243	0.00682702	0.00693283	0.00303761	0.00221371	0.00169035	0.00133571	0.0013174	0.00090515	0.00076153	0.000650536	0.000562683	0.00049185	0.000433852	0.000385729	0.00034534	0.000311094	0.000281796	
12.5	1.2099	0.0297824	0.0124941	0.00680025	0.00689952	0.00302468	0.0022058	0.00168573	0.0013333	0.00131347	0.000905156	0.000762318	0.000651868	0.000564403	0.000493849	0.000436053	0.000388076	0.000347792	0.000313622	0.000284375	
12.75	1.23794	0.0300536	0.012589	0.00684619	0.00693782	0.0030432	0.00222034	0.00169799	0.00134416	0.00132263	0.000914296	0.000770951	0.000660064	0.000572207	0.00050129	0.000443152	0.000394851	0.000354257	0.000319789	0.000290257	
13	1.27933	0.0306076	0.0128515	0.00700299	0.00708058	0.00312035	0.00227873	0.0017436	0.00138058	0.00135821	0.00093874	0.000791243	0.000677062	0.00058655	0.000513468	0.000453547	0.000403763	0.000361929	0.000326416	0.000295999	
13.25	1.33467	0.0313991	0.0132362	0.00723129	0.00729311	0.00323108	0.00236302	0.0018106	0.00143565	0.00141108	0.000978951	0.000826401	0.000708234	0.000614497	0.000538752	0.000476596	0.000424911	0.000381439	0.0003445	0.000312831	
13.5	1.40496	0.0324333	0.0137569	0.00754482	0.007587	0.00338081	0.00247373	0.00189521	0.00150191	0.00147686	0.00102212	0.000861776	0.000737551	0.000639019	0.000559423	0.000494138	0.000439883	0.000394281	0.000355563	0.000322396	
13.75	1.49167	0.0337024	0.0144051	0.00793813	0.00795529	0.00357394	0.00262024	0.00201101	0.00159641	0.00156838	0.00109012	0.000920736	0.000789417	0.000685177	0.000600899	0.000531712	0.000474159	0.000425737	0.000384582	0.000349291	
14	1.59682	0.0352074	0.0151824	0.00840904	0.00839805	0.00379792	0.0027852	0.00213661	0.00169449	0.00166597	0.00115385	0.000972966	0.00083275	0.000721496	0.000631604	0.000557864	0.000496579	0.000445065	0.000401327	0.000363861	
14.25	1.72318	0.0369515	0.0161002	0.00897604	0.00892534	0.00408166	0.00300148	0.00230798	0.00183444	0.00180162	0.00125432	0.00105989	0.000909012	0.000789171	0.000692236	0.000612631	0.000546395	0.000490657	0.000443276	0.000402642	
14.5	1.87458	0.0389299	0.0171436	0.00961566	0.00952245	0.0043896	0.00322937	0.00248218	0.00197095	0.00193718	0.00134359	0.00113331	0.000970156	0.00084062	0.000735912	0.000649995	0.000578574	0.000518534	0.000467553	0.00042388	
14.75	2.05635	0.0411588	0.0183518	0.0103784	0.0102217	0.00478253	0.00353212	0.00272397	0.00216948	0.00212903	0.00148683	0.00125736	0.001079	0.000937152	0.000822311	0.000727934	0.000649366	0.000583223	0.000526981	0.000478735	
15	2.27636	0.043595	0.0196628	0.0111955	0.0109737	0.0051856	0.0038338	0.00295687	0.00235361	0.00231083	0.00160897	0.00135851	0.00116376	0.00100888	0.00088353	0.000780567	0.000694909	0.000622855	0.000561642	0.000509183	
15.25	2.54629	0.0463113	0.021182	0.0121793	0.0118575	0.00571281	0.0042471	0.00329174	0.00263185	0.00257743	0.00181299	0.00153633	0.00132056	0.00114848	0.00100884	0.000893859	0.000797978	0.000717147	0.000648335	0.000589247	
15.5	2.88939	0.049055	0.0226834	0.0131301	0.0127163	0.00619382	0.00461214	0.00357724	0.00286038	0.00280068	0.00196778	0.00166593	0.00143024	0.00124215	0.00108944	0.000963662	0.000858769	0.000770343	0.000695077	0.000630465	
15.75	3.31052	0.0521958	0.0244837	0.0143251	0.0137621	0.00686505	0.00515132	0.00402414	0.00323963	0.00315738	0.0022561	0.00192163	0.00165936	0.00144918	0.00127786	0.00113622	0.00101764	0.00091731	0.000831602	0.000757764	
16	4.15563	0.0543334	0.0255765	0.0149651	0.014341	0.00713152	0.00533499	0.00415355	0.00333211	0.0032498	0.00230342	0.00195544	0.00168306	0.00146523	0.00128806	0.0011419	0.00101981	0.000916737	0.000828881	0.000753356	
16.25	5.27369	0.0587181	0.0279954	0.0165079	0.0156985	0.00792762	0.00594998	0.00464412	0.0037332	0.0036286	0.00258691	0.00219876	0.00189426	0.00165034	0.00145165	0.00128752	0.00115028	0.0010343	0.00093535	0.000850228	
16.5	5.72499	0.0632447	0.0305461	0.0181548	0.0171745	0.00878937	0.00661487	0.0051737	0.00416562	0.00404542	0.00289325	0.00246155	0.00212248	0.00185058	0.00162892	0.00144568	0.00129236	0.00116271	0.00105205	0.000956807	
16.75	6.10984	0.0665955	0.0323519	0.01928	0.0182036	0.00935134	0.00704135	0.00550867	0.00443577	0.00430743	0.00308054	0.00262056	0.0022592	0.0019694	0.00173312	0.00153779	0.00137435	0.00123615	0.0011182	0.00101669	
17	6.35935	0.0694544	0.0339145	0.020251	0.0190992	0.00982281	0.00739229	0.00577913	0.00465002	0.00451775	0.00322466	0.00274126	0.00236174	0.00205754	0.00180968	0.0016049	0.00143366	0.00128893	0.00116548	0.00105928	
17.25	6.54072	0.071465	0.0349874	0.0209133	0.0197118	0.0101525	0.00764302	0.00597705	0.0048108	0.00467319	0.00333837	0.00283887	0.00244665	0.00213225	0.00187604	0.00166432	0.00148724	0.00133756	0.00120986	0.00109998	
17.5	6.6581	0.0728733	0.0357477	0.0213685	0.0201418	0.0103536	0.00778527	0.00608123	0.00488921	0.00475245	0.003386	0.00287667	0.00247705	0.00215694	0.00189626	0.00168098	0.00150105	0.00134904	0.00121942	0.00110796	
17.75	6.72354	0.0735931	0.0361664	0.0216447	0.0203883	0.0105077	0.0079084	0.00618288	0.00497524	0.00483373	0.00345135	0.00293459	0.00252895	0.00220387	0.00193901	0.00172018	0.00153719	0.00138254	0.00125059	0.00113708	
18	6.74051	0.0736614	0.036214	0.0216579	0.0204076	0.0104887	0.00788411	0.0061562	0.00494778	0.00481039	0.00342449	0.00290856	0.00250386	0.00217975	0.00191587	0.00169799	0.00151591	0.00136212	0.00123099	0.00111825	
18.25	6.7107	0.0731106	0.0360192	0.0215871	0.0203151	0.0104938	0.00790147	0.00617955	0.00497396	0.00483182	0.00345207	0.00293582	0.00253053	0.00220568	0.00194097	0.00172225	0.00153932	0.0013847	0.00125278	0.00113928	
18.5	6.63215	0.0718015	0.0353348	0.0211491	0.0199118	0.0102528	0.00770969	0.00602145	0.00484014	0.00470543	0.00335012	0.00284531	0.00244924	0.00213201	0.0018737	0.00166041	0.00148215	0.00133159	0.00120322	0.00109285	
18.75	6.50116	0.0699305	0.0345109	0.020724	0.0194713	0.0101076	0.00762133	0.00596748	0.00480805	0.00466807	0.00334206	0.00284417	0.00245299	0.00213925	0.00188345	0.00167198	0.00149504	0.00134542	0.00121772	0.00110781	
19	6.30529	0.0670034	0.0329409	0.0197305	0.0185521	0.00958631	0.00721628	0.00564088	0.00453715	0.00440899	0.00314259	0.00266963	0.00229827	0.00200065	0.00175819	0.00155791	0.00139048	0.00124903	0.0011284	0.00102468	
19.25	6.04027	0.0636801	0.0314003	0.0188864	0.0177074	0.00925677	0.00699788	0.00549234	0.00443471	0.00429971	0.00309337	0.00263669	0.00227726	0.00198854	0.00175281	0.00155769	0.00139424	0.00125589	0.00113769	0.00103588	
