Numero de iteracoes: 24
Erro: 9.44707e-07
Tempo de Resolucao do Problema: 9319.47 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
0	0.507947	0.0159361	0.0118712	0.0119475	0.012231	0.0128525	0.0091786	0.0099924	0.0112716	0.0133532	0.0169295	0.0231658	0.00917077	0.00819085	0.00576006	0.0016388	0.000414807	2.84237e-05	4.18369e-06	
0.02	0.485003	0.0170148	0.0126895	0.0127853	0.0131052	0.013792	0.00986507	0.0107568	0.0121588	0.0144442	0.0183861	0.0253157	0.0100263	0.00905093	0.00650222	0.00191797	0.000517817	3.87636e-05	6.31185e-06	
0.04	0.466951	0.0177429	0.0132425	0.0133525	0.0136987	0.0144318	0.0103337	0.0112795	0.0127658	0.0151898	0.0193782	0.0267742	0.0106717	0.00969732	0.00705514	0.0021245	0.000591744	4.60241e-05	7.73777e-06	
0.06	0.451676	0.0182787	0.0136531	0.0137773	0.0141476	0.0149211	0.0106955	0.0116861	0.0132415	0.0157786	0.0201674	0.0279451	0.0112315	0.0102618	0.0075395	0.00230561	0.000655608	5.22303e-05	8.92827e-06	
0.08	0.438138	0.0186971	0.0139771	0.0141162	0.0145097	0.0153203	0.0109936	0.0120237	0.0136394	0.0162742	0.0208357	0.0289425	0.0117368	0.0107731	0.00797867	0.00247017	0.000713063	5.77656e-05	9.97176e-06	
0.1	0.425801	0.0190352	0.014242	0.014396	0.0148119	0.0156571	0.0112471	0.0123127	0.013982	0.0167031	0.0214162	0.0298124	0.0122	0.0112434	0.00838329	0.0026223	0.000765753	6.2804e-05	1.09087e-05	
0.12	0.41437	0.0193134	0.0144624	0.0146311	0.0150683	0.0159457	0.0114661	0.0125637	0.0142811	0.0170793	0.021927	0.0305803	0.0126282	0.0116798	0.00875959	0.00276433	0.000814614	6.74451e-05	1.17624e-05	
0.14	0.403667	0.0195438	0.0146471	0.0148302	0.0152876	0.0161951	0.0116567	0.0127835	0.0145443	0.0174116	0.0223798	0.0312636	0.0130263	0.012087	0.00911166	0.00289774	0.000860245	7.17538e-05	1.2548e-05	
0.16	0.393579	0.0197347	0.0148021	0.014999	0.0154757	0.0164111	0.0118232	0.0129766	0.0147769	0.0177067	0.0227833	0.0318747	0.0133977	0.0124684	0.00944237	0.00302356	0.000903064	7.57756e-05	1.32761e-05	
0.18	0.384023	0.0198919	0.0149316	0.015142	0.0156369	0.0165985	0.0119689	0.0131468	0.0149829	0.0179693	0.023144	0.0324231	0.0137452	0.0128267	0.00975387	0.00314257	0.000943381	7.95446e-05	1.39544e-05	
