Numero de iteracoes: 24
Erro: 9.4471e-07
Tempo de Resolucao do Problema: 2369.53 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
0	0.507947	0.0159368	0.0118721	0.0119488	0.0122326	0.0128545	0.00918007	0.00999409	0.0112736	0.0133557	0.0169328	0.0231705	0.00917031	0.0081904	0.00575954	0.00163858	0.000414727	2.84174e-05	4.18246e-06	
0.0285714	0.478467	0.017265	0.0128847	0.0129903	0.0133249	0.0140346	0.0100464	0.0109626	0.0124021	0.014749	0.0188009	0.0259422	0.010303	0.00933349	0.0067485	0.0020107	0.00055112	4.20433e-05	6.96118e-06	
0.0571429	0.454797	0.0181628	0.0135702	0.0136967	0.0140677	0.0148395	0.0106384	0.0116248	0.0131731	0.015698	0.0200647	0.0277997	0.0111558	0.0101863	0.00747413	0.00228076	0.000646877	5.13863e-05	8.7678e-06	
0.0857143	0.434894	0.0187943	0.0140564	0.0142022	0.0146045	0.0154276	0.011075	0.012117	0.0137502	0.0164131	0.021023	0.0292205	0.0118753	0.0109126	0.00809755	0.00251465	0.000728519	5.92474e-05	1.02486e-05	
0.114286	0.417544	0.0192528	0.0144144	0.0145794	0.015011	0.0158799	0.0114151	0.0125042	0.0142089	0.0169867	0.0217985	0.0303822	0.0125104	0.0115587	0.00865467	0.00272461	0.000800981	6.6153e-05	1.15256e-05	
0.142857	0.402013	0.0195925	0.0146846	0.0148689	0.0153284	0.0162392	0.011689	0.0128196	0.0145861	0.0174627	0.0224471	0.0313615	0.0130815	0.0121432	0.0091602	0.00291611	0.00086651	7.23434e-05	1.26551e-05	
0.171429	0.387846	0.0198461	0.0148908	0.0150943	0.0155803	0.0165298	0.0119138	0.0130811	0.0149019	0.0178644	0.0229979	0.0321986	0.0135994	0.012676	0.00962272	0.00309234	0.000926385	7.79576e-05	1.36692e-05	
0.2	0.374752	0.0200339	0.015048	0.01527	0.0157812	0.0167663	0.0120995	0.0132995	0.0151681	0.0182057	0.0234689	0.0329184	0.0140712	0.0131641	0.010048	0.00325536	0.000981434	8.30868e-05	1.45888e-05	
0.228571	0.362538	0.0201694	0.0151658	0.0154058	0.0159406	0.0169584	0.0122528	0.013482	0.0153929	0.0184963	0.0238724	0.0335387	0.014502	0.0136123	0.0104402	0.00340662	0.00103224	8.77957e-05	1.54284e-05	
0.257143	0.351069	0.0202619	0.0152509	0.0155081	0.0160649	0.0171129	0.0123786	0.0136338	0.0155821	0.0187431	0.0242174	0.0340728	0.014896	0.0140246	0.0108026	0.00354721	0.00107926	9.21332e-05	1.61984e-05	
0.285714	0.340247	0.0203181	0.0153084	0.0155819	0.0161594	0.0172349	0.0124805	0.0137589	0.0157401	0.0189515	0.0245113	0.0345315	0.0152563	0.0144041	0.0111376	0.00367801	0.00112282	9.61371e-05	1.69071e-05	
0.314286	0.329999	0.0203433	0.0153421	0.015631	0.0162277	0.0173285	0.0125615	0.0138606	0.0158708	0.0191262	0.0247601	0.0349234	0.0155858	0.0147533	0.0114473	0.00379973	0.00116321	9.98383e-05	1.75605e-05	
0.342857	0.320266	0.0203417	0.0153551	0.0156586	0.0162733	0.0173971	0.012624	0.0139414	0.0159771	0.0192708	0.0249686	0.0352557	0.0158868	0.0150745	0.0117336	0.00391297	0.00120067	0.000103262	1.81639e-05	
0.371429	0.311	0.0203168	0.01535	0.0156673	0.0162986	0.0174435	0.01267	0.0140036	0.0160616	0.0193885	0.0251411	0.0355346	0.0161613	0.0153696	0.011998	0.00401826	0.00123541	0.00010643	1.87214e-05	
0.4	0.30216	0.0202712	0.0153289	0.0156592	0.016306	0.0174702	0.0127012	0.0140493	0.0161266	0.0194819	0.0252811	0.0357653	0.0164111	0.0156402	0.0122418	0.00411604	0.00126759	0.00010936	1.92366e-05	
0.428571	0.293712	0.0202077	0.0152937	0.0156363	0.0162974	0.0174792	0.0127193	0.0140799	0.016174	0.0195535	0.0253916	0.0359522	0.016638	0.015888	0.0124663	0.00420675	0.00129737	0.000112069	1.97125e-05	
0.457143	0.285627	0.0201281	0.015246	0.0156002	0.0162746	0.0174724	0.0127254	0.014097	0.0162054	0.0196051	0.0254754	0.0360993	0.0168432	0.0161141	0.0126725	0.00429075	0.0013249	0.000114571	2.01517e-05	
0.485714	0.277878	0.0200345	0.0151871	0.0155522	0.016239	0.0174512	0.0127208	0.0141019	0.0162224	0.0196387	0.0255349	0.03621	0.0170281	0.01632	0.0128615	0.00436839	0.00135031	0.000116878	2.05565e-05	
0.514286	0.270442	0.0199283	0.0151184	0.0154937	0.0161919	0.0174172	0.0127064	0.0140956	0.0162261	0.0196558	0.0255721	0.0362874	0.0171939	0.0165067	0.0130342	0.00443999	0.0013737	0.000119002	2.0929e-05	
0.542857	0.263297	0.0198111	0.0150408	0.0154258	0.0161344	0.0173716	0.0126833	0.0140793	0.0162178	0.0196578	0.0255888	0.0363343	0.0173417	0.0166752	0.0131914	0.00450583	0.00139519	0.000120953	2.12712e-05	
0.571429	0.256427	0.019684	0.0149554	0.0153494	0.0160677	0.0173154	0.012652	0.0140537	0.0161985	0.019646	0.0255868	0.036353	0.0174725	0.0168265	0.013334	0.00456621	0.00141488	0.000122741	2.15846e-05	
0.6	0.249812	0.0195483	0.0148629	0.0152654	0.0159926	0.0172496	0.0126135	0.0140196	0.0161691	0.0196214	0.0255676	0.0363457	0.0175874	0.0169616	0.0134626	0.00462137	0.00143285	0.000124375	2.18708e-05	
0.628571	0.24344	0.0194048	0.0147642	0.0151746	0.0159099	0.0171752	0.0125683	0.0139779	0.0161305	0.0195852	0.0255325	0.0363146	0.017687	0.0170813	0.013578	0.00467157	0.0014492	0.000125862	2.21314e-05	
0.657143	0.237294	0.0192545	0.01466	0.0150777	0.0158205	0.017093	0.012517	0.0139291	0.0160834	0.0195382	0.0254827	0.0362613	0.0177724	0.0171864	0.0136809	0.00471703	0.001464	0.00012721	2.23675e-05	
0.685714	0.231364	0.0190981	0.0145508	0.0149754	0.0157248	0.0170035	0.0124602	0.0138738	0.0160284	0.0194813	0.0254194	0.0361876	0.0178442	0.0172776	0.0137718	0.00475798	0.00147733	0.000128427	2.25805e-05	
0.714286	0.225637	0.0189365	0.0144371	0.0148681	0.0156236	0.0169076	0.0123983	0.0138126	0.0159663	0.0194153	0.0253436	0.036095	0.0179032	0.0173556	0.0138514	0.00479462	0.00148927	0.000129519	2.27716e-05	
0.742857	0.220103	0.0187701	0.0143196	0.0147565	0.0155174	0.0168058	0.0123318	0.013746	0.0158976	0.0193408	0.0252562	0.0359849	0.01795	0.0174211	0.0139201	0.00482715	0.00149988	0.000130491	2.29417e-05	
0.771429	0.214751	0.0185997	0.0141986	0.0146409	0.0154066	0.0166986	0.0122611	0.0136744	0.0158228	0.0192586	0.0251582	0.0358585	0.0179854	0.0174747	0.0139786	0.00485577	0.00150922	0.000131351	2.30921e-05	
0.8	0.209573	0.0184257	0.0140745	0.0145219	0.0152918	0.0165865	0.0121865	0.0135983	0.0157424	0.0191692	0.0250502	0.0357172	0.0180098	0.0175171	0.0140272	0.00488065	0.00151735	0.000132103	2.32235e-05	
0.828571	0.204561	0.0182487	0.0139477	0.0143998	0.0151734	0.0164701	0.0121084	0.0135179	0.0156569	0.0190731	0.0249332	0.0355619	0.018024	0.0175487	0.0140666	0.00490197	0.00152434	0.000132753	2.3337e-05	
0.857143	0.199707	0.0180689	0.0138186	0.0142748	0.0150516	0.0163496	0.012027	0.0134337	0.0155666	0.018971	0.0248077	0.0353937	0.0180284	0.0175702	0.0140971	0.0049199	0.00153024	0.000133305	2.34334e-05	
0.885714	0.195003	0.0178869	0.0136874	0.0141475	0.014927	0.0162255	0.0119428	0.013346	0.015472	0.0188632	0.0246743	0.0352136	0.0180235	0.017582	0.0141193	0.00493458	0.0015351	0.000133765	2.35135e-05	
0.914286	0.190442	0.017703	0.0135544	0.014018	0.0147997	0.0160982	0.0118559	0.0132551	0.0153734	0.0187502	0.0245338	0.0350225	0.0180099	0.0175846	0.0141334	0.00494617	0.00153897	0.000134137	2.35782e-05	
0.942857	0.186019	0.0175175	0.01342	0.0138867	0.0146701	0.015968	0.0117666	0.0131612	0.0152711	0.0186324	0.0243866	0.0348212	0.017988	0.0175786	0.0141399	0.00495482	0.0015419	0.000134425	2.36281e-05	
0.971429	0.181728	0.0173307	0.0132842	0.0137537	0.0145385	0.0158351	0.0116751	0.0130647	0.0151655	0.0185103	0.0242333	0.0346104	0.0179582	0.0175642	0.0141391	0.00496067	0.00154394	0.000134633	2.36641e-05	
1	0.177563	0.0171429	0.0131474	0.0136194	0.014405	0.0156999	0.0115816	0.0129658	0.0150568	0.018384	0.0240743	0.0343909	0.017921	0.017542	0.0141315	0.00496385	0.00154512	0.000134766	2.36868e-05	
1.02857	0.173519	0.0169543	0.0130097	0.0134839	0.01427	0.0155625	0.0114863	0.0128646	0.0149453	0.0182541	0.0239101	0.0341633	0.0178768	0.0175123	0.0141173	0.00496448	0.00154549	0.000134826	2.36968e-05	
1.05714	0.169591	0.0167651	0.0128714	0.0133473	0.0141336	0.0154234	0.0113895	0.0127615	0.0148312	0.0181208	0.0237411	0.0339283	0.0178259	0.0174756	0.014097	0.0049627	0.0015451	0.000134817	2.36947e-05	
1.08571	0.165774	0.0165757	0.0127325	0.01321	0.0139961	0.0152826	0.0112912	0.0126565	0.0147148	0.0179843	0.0235677	0.0336866	0.0177688	0.0174322	0.0140707	0.00495861	0.00154397	0.000134744	2.36813e-05	
1.11429	0.162065	0.016386	0.0125932	0.013072	0.0138575	0.0151403	0.0111916	0.0125499	0.0145963	0.0178451	0.0233903	0.0334385	0.0177057	0.0173824	0.0140389	0.00495233	0.00154214	0.000134608	2.36569e-05	
1.14286	0.158458	0.0161965	0.0124537	0.0129336	0.0137182	0.0149969	0.0110909	0.0124419	0.0144758	0.0177032	0.0232092	0.0331847	0.017637	0.0173267	0.0140018	0.00494397	0.00153965	0.000134414	2.36223e-05	
1.17143	0.154951	0.016007	0.0123141	0.0127948	0.0135782	0.0148523	0.0109893	0.0123325	0.0143537	0.017559	0.0230248	0.0329257	0.017563	0.0172652	0.0139596	0.00493363	0.00153654	0.000134164	2.35778e-05	
1.2	0.151539	0.015818	0.0121745	0.0126557	0.0134377	0.0147069	0.0108867	0.0122221	0.01423	0.0174127	0.0228373	0.0326619	0.017484	0.0171984	0.0139127	0.00492142	0.00153283	0.00013386	2.3524e-05	
1.22857	0.14822	0.0156294	0.0120351	0.0125166	0.0132968	0.0145608	0.0107835	0.0121106	0.014105	0.0172645	0.0226471	0.0323938	0.0174003	0.0171265	0.0138613	0.00490742	0.00152856	0.000133507	2.34614e-05	
1.25714	0.144989	0.0154414	0.0118959	0.0123775	0.0131557	0.0144141	0.0106796	0.0119982	0.0139787	0.0171146	0.0224544	0.0321217	0.0173122	0.0170498	0.0138056	0.00489173	0.00152375	0.000133106	2.33905e-05	
1.28571	0.141843	0.015254	0.011757	0.0122385	0.0130144	0.0142669	0.0105752	0.0118851	0.0138513	0.0169631	0.0222594	0.0318461	0.0172199	0.0169685	0.0137459	0.00487445	0.00151843	0.000132659	2.33116e-05	
1.31429	0.13878	0.0150675	0.0116185	0.0120997	0.0128731	0.0141194	0.0104703	0.0117713	0.0137231	0.0168103	0.0220625	0.0315673	0.0171237	0.016883	0.0136825	0.00485564	0.00151264	0.00013217	2.32253e-05	
1.34286	0.135798	0.0148819	0.0114804	0.0119611	0.0127318	0.0139717	0.0103652	0.011657	0.013594	0.0166564	0.0218638	0.0312857	0.0170239	0.0167935	0.0136154	0.0048354	0.00150639	0.00013164	2.31318e-05	
1.37143	0.132892	0.0146973	0.011343	0.011823	0.0125907	0.0138239	0.0102598	0.0115423	0.0134642	0.0165014	0.0216635	0.0310015	0.0169205	0.0167001	0.0135449	0.0048138	0.00149971	0.000131073	2.30316e-05	
1.4	0.13006	0.0145137	0.0112061	0.0116853	0.0124499	0.013676	0.0101542	0.0114272	0.0133339	0.0163455	0.021462	0.0307152	0.016814	0.0166032	0.0134712	0.00479092	0.00149262	0.000130468	2.29251e-05	
1.42857	0.127301	0.0143313	0.01107	0.0115482	0.0123094	0.0135283	0.0100485	0.0113119	0.0132032	0.0161889	0.0212592	0.0304269	0.0167045	0.016503	0.0133946	0.00476683	0.00148516	0.00012983	2.28126e-05	
1.45714	0.124612	0.0141501	0.0109346	0.0114116	0.0121693	0.0133808	0.0099428	0.0111964	0.013072	0.0160317	0.0210555	0.0301369	0.0165921	0.0163996	0.0133151	0.00474159	0.00147733	0.00012916	2.26945e-05	
1.48571	0.121989	0.0139701	0.0108	0.0112756	0.0120296	0.0132335	0.00983714	0.0110808	0.0129406	0.0158741	0.020851	0.0298456	0.0164771	0.0162933	0.013233	0.00471529	0.00146917	0.000128459	2.2571e-05	
1.51429	0.119433	0.0137914	0.0106662	0.0111404	0.0118905	0.0130866	0.00973159	0.0109652	0.0128091	0.015716	0.0206458	0.0295531	0.0163596	0.0161842	0.0131484	0.00468796	0.00146068	0.00012773	2.24426e-05	
1.54286	0.116939	0.0136142	0.0105333	0.0110059	0.011752	0.01294	0.0096262	0.0108497	0.0126774	0.0155577	0.0204401	0.0292597	0.0162399	0.0160726	0.0130615	0.00465969	0.0014519	0.000126974	2.23094e-05	
1.57143	0.114507	0.0134383	0.0104013	0.0108721	0.0116141	0.012794	0.00952102	0.0107342	0.0125458	0.0153992	0.020234	0.0289656	0.0161181	0.0159585	0.0129724	0.00463053	0.00144283	0.000126193	2.21719e-05	
1.6	0.112134	0.0132638	0.0102703	0.0107393	0.011477	0.0126485	0.00941611	0.0106189	0.0124142	0.0152407	0.0200278	0.0286709	0.0159943	0.0158423	0.0128813	0.00460053	0.0014335	0.000125388	2.20302e-05	
1.62857	0.109818	0.0130909	0.0101402	0.0106073	0.0113405	0.0125036	0.00931151	0.0105039	0.0122827	0.0150822	0.0198214	0.028376	0.0158688	0.0157239	0.0127883	0.00456974	0.00142392	0.000124561	2.18846e-05	
1.65714	0.107559	0.0129194	0.0100112	0.0104762	0.0112049	0.0123593	0.00920727	0.0103892	0.0121515	0.0149238	0.019615	0.0280809	0.0157416	0.0156037	0.0126936	0.00453823	0.00141412	0.000123714	2.17354e-05	
1.68571	0.105353	0.0127496	0.00988322	0.010346	0.0110701	0.0122158	0.00910342	0.0102747	0.0120205	0.0147656	0.0194088	0.0277858	0.0156129	0.0154817	0.0125973	0.00450603	0.0014041	0.000122847	2.15829e-05	
1.71429	0.103201	0.0125812	0.00975632	0.0102168	0.0109361	0.012073	0.00900001	0.0101607	0.0118898	0.0146076	0.0192028	0.027491	0.0154828	0.0153581	0.0124994	0.0044732	0.00139388	0.000121962	2.14272e-05	
1.74286	0.101099	0.0124145	0.0096305	0.0100886	0.0108031	0.011931	0.00889707	0.0100471	0.0117596	0.01445	0.0189971	0.0271964	0.0153515	0.015233	0.0124002	0.00443978	0.00138347	0.000121061	2.12686e-05	
1.77143	0.0990464	0.0122494	0.0095058	0.00996143	0.010671	0.0117898	0.00879463	0.00993391	0.0116297	0.0142928	0.0187919	0.0269024	0.015219	0.0151065	0.0122997	0.00440582	0.00137289	0.000120144	2.11073e-05	
1.8	0.0970422	0.0120859	0.00938222	0.0098353	0.0105398	0.0116495	0.00869273	0.00982125	0.0115003	0.0141361	0.0185872	0.026609	0.0150856	0.0149789	0.0121981	0.00437135	0.00136215	0.000119213	2.09435e-05	
1.82857	0.0950846	0.011924	0.00925978	0.00971024	0.0104096	0.0115101	0.00859139	0.00970913	0.0113715	0.0139799	0.0183831	0.0263164	0.0149512	0.01485	0.0120954	0.00433642	0.00135127	0.000118269	2.07774e-05	
