Numero de iteracoes: 12
Erro: 9.51878e-07
Tempo de Resolucao do Problema: 3562.37 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	0.505578	0.00190952	0.00101267	0.000644539	0.000627253	0.000346543	0.000270921	0.000219215	0.000181988	0.000181686	0.000133798	0.000116473	0.000102632	9.13335e-05	8.19621e-05	7.4085e-05	6.73884e-05	6.16393e-05	5.66599e-05	5.23137e-05	
0.25	0.477185	0.00266074	0.00149858	0.000998833	0.000924172	0.000572627	0.000460388	0.000381649	0.000323681	0.0003132	0.000246177	0.000217827	0.000194789	0.000175701	0.00015965	0.000145986	0.000134233	0.000124031	0.000115102	0.000107232	
0.5	0.456264	0.00310797	0.00176266	0.00117885	0.00108212	0.000676412	0.000543699	0.000450295	0.000381369	0.000368667	0.000288915	0.000255109	0.00022761	0.000204814	0.00018564	0.000169319	0.000155282	0.0001431	0.000132443	0.000123055	
0.75	0.438825	0.00347003	0.00198544	0.00133559	0.00121852	0.00077072	0.000620498	0.000514363	0.000435813	0.000420824	0.000330115	0.000291396	0.000259866	0.000233709	0.000211696	0.000192951	0.000176826	0.000162831	0.000150588	0.000139804	
1	0.423391	0.00376863	0.0021599	0.00145114	0.00132331	0.00083282	0.000668468	0.000552428	0.000466642	0.000451561	0.000351442	0.000309334	0.000275098	0.00024674	0.000222914	0.000202657	0.000185258	0.000170181	0.000157013	0.000145431	
1.25	0.40934	0.00401864	0.00230328	0.00154619	0.00141002	0.000885565	0.000710025	0.000586103	0.000494511	0.000479063	0.000371623	0.000326705	0.00029021	0.000260001	0.000234638	0.000213089	0.000194595	0.000178581	0.000164605	0.000152323	
1.5	0.396359	0.00422998	0.00242131	0.00162189	0.001481	0.000923913	0.000738569	0.000607865	0.000511393	0.000496577	0.000382303	0.000335214	0.000297027	0.000265476	0.000239033	0.000216608	0.000197394	0.000180786	0.000166315	0.000153619	
1.75	0.384262	0.00440953	0.00251895	0.0016832	0.00153962	0.000954663	0.000761628	0.000625722	0.000525566	0.000511132	0.000391883	0.000343168	0.000303716	0.000271159	0.000243903	0.000220813	0.00020105	0.000183984	0.000169128	0.000156106	
2	0.372917	0.00456231	0.00259954	0.00173221	0.00158777	0.000977284	0.000777558	0.000637136	0.000533802	0.000520222	0.000396245	0.000346203	0.00030575	0.000272424	0.000244573	0.000221016	0.000200887	0.000183532	0.000168448	0.000155246	
2.25	0.362226	0.00469206	0.00266563	0.00177101	0.00162701	0.000994223	0.000789249	0.000645436	0.000539815	0.000526896	0.000399652	0.000348741	0.000307652	0.000273852	0.000245641	0.00022181	0.000201469	0.000183949	0.000168738	0.000155436	
2.5	0.352112	0.00480168	0.00271914	0.00180097	0.0016585	0.00100574	0.000796358	0.000649698	0.000542162	0.000530119	0.00039984	0.000348226	0.000306641	0.000272486	0.000244022	0.000220013	0.00019955	0.00018195	0.000166689	0.000153362	
2.75	0.342511	0.00489337	0.00276158	0.00182327	0.00168313	0.00101307	0.000800338	0.000651657	0.000542864	0.000531531	0.000399337	0.000347378	0.000305587	0.000271315	0.000242794	0.000218766	0.00019831	0.000180736	0.000165512	0.000152229	
3	0.33337	0.00496883	0.00279404	0.00183861	0.00170152	0.00101613	0.000800745	0.000650506	0.000540772	0.000530254	0.000396404	0.000344229	0.000302331	0.000268023	0.000239511	0.000215524	0.000195129	0.000177628	0.000162486	0.00014929	
3.25	0.324645	0.00502922	0.00281737	0.00184788	0.00171423	0.00101619	0.00079901	0.000647852	0.00053767	0.0005278	0.000393159	0.000341029	0.000299239	0.000265071	0.000236715	0.000212889	0.000192654	0.000175309	0.000160317	0.000147263	
3.5	0.316297	0.00507515	0.00283137	0.00185023	0.00172076	0.00101156	0.000793275	0.000641684	0.000531411	0.000522271	0.000387191	0.000335272	0.000293717	0.000259791	0.000231674	0.00020808	0.000188066	0.000170931	0.000156137	0.00014327	
3.75	0.308289	0.00510662	0.00283786	0.00184821	0.00172282	0.00100525	0.000786527	0.000634965	0.000524937	0.000516334	0.000381466	0.000329925	0.000288743	0.000255172	0.000227388	0.000204103	0.000184375	0.000167503	0.000152951	0.000140305	
4	0.300577	0.00510918	0.00282358	0.00182993	0.00171029	0.000987239	0.000769572	0.000619147	0.000510218	0.000502406	0.000368617	0.000317921	0.00027749	0.000244592	0.000217411	0.000194668	0.000175431	0.000159003	0.000144855	0.000132577	
4.25	0.286648	0.00503007	0.00274383	0.00175778	0.00165416	0.000930175	0.000718679	0.000573486	0.000469002	0.000463504	0.000334298	0.00028649	0.000248563	0.000217856	0.000192609	0.000171583	0.000153877	0.00013882	0.000125906	0.000114745	
4.5	0.273758	0.00498369	0.00269348	0.00171228	0.00161988	0.000896071	0.000689048	0.000547654	0.000446375	0.000441846	0.000316619	0.000270778	0.000234532	0.000205274	0.000181282	0.00016135	0.000144601	0.000130387	0.000118219	0.000107719	
4.75	0.261736	0.00492808	0.00263821	0.00166409	0.00158245	0.000861162	0.000659065	0.000521733	0.000423804	0.000420103	0.000299079	0.000255223	0.000220657	0.000192832	0.000170073	0.000151207	0.000135387	0.000121987	0.000110533	0.000100664	
5	0.250482	0.00487048	0.00258635	0.00162113	0.00154842	0.00083214	0.000634795	0.000501262	0.000406387	0.00040314	0.000286112	0.000243948	0.000210784	0.000184135	0.000162368	0.000144346	0.000129249	0.00011647	0.000105554	9.61533e-05	
5.25	0.239918	0.00480719	0.00253206	0.00157698	0.00151286	0.000802745	0.000610325	0.00048067	0.000388879	0.00038606	0.000273029	0.000232546	0.00020077	0.00017528	0.000154491	0.000137301	0.000122914	0.000110748	0.000100363	9.1425e-05	
5.5	0.229976	0.00473941	0.0024777	0.00153456	0.0014779	0.000776082	0.000588624	0.00046277	0.000373931	0.000371355	0.0002622	0.000223237	0.000192695	0.000168219	0.000148271	0.000131785	0.000117993	0.000106332	9.63789e-05	8.78126e-05	
5.75	0.220599	0.00466726	0.00242212	0.0014919	0.00144227	0.000749536	0.000567061	0.000444982	0.000359055	0.000356723	0.000251346	0.000213871	0.000184536	0.000161053	0.000141932	0.00012614	0.000112935	0.000101776	9.22549e-05	8.40623e-05	
6	0.211737	0.00459134	0.00236602	0.00145002	0.00140665	0.000724492	0.000547058	0.000428725	0.000345638	0.000343443	0.00024177	0.000205686	0.000177463	0.000154884	0.000136505	0.000121329	0.00010864	9.7916e-05	8.87653e-05	8.08902e-05	
6.25	0.203349	0.00451209	0.00230932	0.00140838	0.00137078	0.000699916	0.000527477	0.000412816	0.000332492	0.000330437	0.000232329	0.000197589	0.000170442	0.000148739	0.000131083	0.000116509	0.000104328	9.40365e-05	8.52559e-05	7.77005e-05	
6.5	0.195397	0.00442995	0.00225221	0.00136717	0.0013348	0.000676152	0.000508743	0.000397737	0.000320135	0.000318158	0.000223573	0.000190122	0.000163998	0.000143119	0.000126136	0.00011212	0.000100403	9.05029e-05	8.20549e-05	7.47842e-05	
6.75	0.187848	0.00434531	0.00219491	0.00132652	0.00129886	0.000653124	0.000490675	0.000383227	0.000308252	0.000306343	0.000215134	0.000182915	0.000157768	0.00013768	0.000121346	0.000107868	9.66044e-05	8.70881e-05	7.89689e-05	7.1982e-05	
7	0.180672	0.0042583	0.00213709	0.00128588	0.00126257	0.000630277	0.000472819	0.000368933	0.000296577	0.000294707	0.000206868	0.000175864	0.000151677	0.00013236	0.000116655	0.000103696	9.28666e-05	8.37157e-05	7.59073e-05	6.91869e-05	
7.25	0.173842	0.00416933	0.00207952	0.00124616	0.00122663	0.000608456	0.000455894	0.000355457	0.00028561	0.000283749	0.000199138	0.000169284	0.000146003	0.000127416	0.000112308	9.98445e-05	8.94304e-05	8.06322e-05	7.31257e-05	6.66659e-05	
7.5	0.167334	0.00407719	0.00202024	0.00120525	0.00118933	0.000585735	0.000438184	0.000341276	0.000274002	0.000272152	0.000190845	0.000162176	0.00013983	0.000121996	0.000107504	9.55506e-05	8.55637e-05	7.71269e-05	6.99291e-05	6.3735e-05	
7.75	0.161125	0.00398419	0.0019621	0.00116594	0.00115301	0.000564508	0.000421824	0.000328302	0.00026347	0.000261563	0.000183432	0.000155869	0.000134394	0.000117261	0.000103342	9.18649e-05	8.22784e-05	7.41818e-05	6.7276e-05	6.13345e-05	
8	0.155179	0.00387696	0.00189418	0.00111898	0.00110938	0.000537494	0.000400365	0.000310742	0.000248758	0.000246913	0.000172395	0.000146186	0.00012579	0.000109536	9.63445e-05	8.54781e-05	7.641e-05	6.87581e-05	6.22372e-05	5.66316e-05	
8.25	0.145768	0.00365421	0.00175336	0.00102081	0.00101909	0.000479568	0.000353831	0.000272267	0.000216229	0.000215152	0.000147689	0.000124405	0.00010637	9.20646e-05	8.05079e-05	7.10303e-05	6.31559e-05	5.654e-05	5.09255e-05	4.61191e-05	
8.5	0.137089	0.00347087	0.00164406	0.000948857	0.000951367	0.000441722	0.000325043	0.000249723	0.000198171	0.000197033	0.000135365	0.000114106	9.76635e-05	8.46373e-05	7.4124e-05	6.5508e-05	5.8353e-05	5.2343e-05	4.72431e-05	4.28769e-05	
8.75	0.129033	0.00329644	0.00154192	0.00088249	0.000888279	0.000407204	0.000298819	0.000229135	0.000181583	0.000180442	0.000123795	0.000104292	8.92221e-05	7.72914e-05	6.76677e-05	5.97842e-05	5.32396e-05	4.77439e-05	4.30813e-05	3.909e-05	
9	0.121546	0.00313655	0.0014519	0.000825963	0.000833704	0.000379518	0.000278361	0.000213503	0.000169319	0.000168052	0.00011568	9.75899e-05	8.36078e-05	7.25335e-05	6.35951e-05	5.62675e-05	5.01793e-05	4.5062e-05	4.07161e-05	3.6992e-05	
9.25	0.114573	0.00298459	0.00136746	0.000773311	0.0007826	0.000353689	0.000259168	0.000198698	0.000157555	0.00015626	0.000107627	9.08009e-05	7.7792e-05	6.74854e-05	5.91639e-05	5.23401e-05	4.66687e-05	4.19006e-05	3.78505e-05	3.43793e-05	
9.5	0.108071	0.00284182	0.00129047	0.000726506	0.000736625	0.000331637	0.00024307	0.000186491	0.000148016	0.000146652	0.000101315	8.55712e-05	7.33906e-05	6.37331e-05	5.59297e-05	4.95255e-05	4.41986e-05	3.97164e-05	3.59059e-05	3.26374e-05	
9.75	0.101999	0.00270609	0.00121818	0.000682769	0.000693531	0.000310886	0.000227798	0.000174777	0.000138735	0.000137378	9.49669e-05	8.02108e-05	6.87888e-05	5.97288e-05	5.24055e-05	4.63937e-05	4.13922e-05	3.71833e-05	3.36051e-05	3.0536e-05	
