Numero de iteracoes: 1
Erro: 1
Tempo de Resolucao do Problema: 21.2679 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	1.74085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	1.76603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.4	1.80443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.6	1.85524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.8	1.91877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1.99651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.2	2.09131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.4	2.20779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.6	2.35309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.8	2.53801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	2.77883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.2	3.07077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.4	3.27402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.6	3.41737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.8	3.51802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	3.5862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.2	3.62789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.4	3.64639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.6	3.64315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.8	3.61814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	3.56981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.2	3.4948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.4	3.38701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.6	3.23613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.8	3.02484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	2.72417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.2	2.3559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.4	2.10422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.6	1.91999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
