Numero de iteracoes: 13
Erro: 2.58795e-07
Tempo de Resolucao do Problema: 9009.63 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	1.86275	0.0347163	0.0169722	0.0101715	0.00998873	0.00501099	0.00377136	0.00294998	0.00237506	0.00235618	0.00165664	0.00140738	0.00121223	0.00105596	0.000928647	0.000823442	0.000735437	0.000661033	0.000597533	0.000542882	
0.04	1.86726	0.0355493	0.0175371	0.0105989	0.0103634	0.00530324	0.00402103	0.00316792	0.00256837	0.00253993	0.0018155	0.00155244	0.00134577	0.00117967	0.00104389	0.000931293	0.000836789	0.000756623	0.000687981	0.000628715	
0.08	1.87256	0.0362761	0.0180018	0.0109322	0.0106639	0.00551023	0.00419056	0.00331022	0.00269006	0.00265834	0.00190913	0.00163542	0.00142003	0.00124667	0.00110475	0.000986914	0.000887892	0.000803799	0.000731717	0.000669418	
0.12	1.87859	0.0369224	0.0184	0.0112102	0.0109179	0.00567802	0.00432734	0.00342499	0.00278853	0.00275424	0.00198593	0.00170411	0.00148213	0.00130331	0.00115678	0.00103502	0.000932603	0.000845553	0.000770871	0.000706269	
0.16	1.88528	0.0375071	0.0187525	0.0114537	0.0111415	0.00582425	0.00444659	0.00352508	0.00287431	0.002838	0.00205243	0.00176326	0.00153525	0.00135136	0.00120053	0.00107506	0.00096942	0.000879546	0.00080237	0.000735553	
0.2	1.89259	0.038044	0.0190726	0.0116742	0.0113442	0.00595642	0.00455419	0.0036151	0.00295117	0.00291333	0.00211146	0.00181552	0.00158197	0.00139348	0.00123875	0.00110996	0.00100147	0.000909113	0.00082977	0.000761048	
0.24	1.90047	0.0385434	0.0193687	0.011878	0.0115317	0.00607821	0.004653	0.00369745	0.00302116	0.00298217	0.0021648	0.00186257	0.0016239	0.00143116	0.00127285	0.00114101	0.00102988	0.000935247	0.000853907	0.000783422	
0.28	1.9089	0.0390126	0.0196466	0.0120691	0.0117076	0.00619177	0.00474479	0.00377364	0.00308569	0.00304582	0.00221366	0.00190556	0.0016621	0.0014654	0.00130376	0.00116908	0.00105552	0.000958776	0.000875592	0.000803487	
0.32	1.91784	0.0394574	0.0199098	0.01225	0.0118742	0.00629853	0.00483078	0.00384478	0.00314575	0.00310521	0.00225891	0.00194526	0.00169731	0.00149688	0.00133212	0.00119478	0.00107895	0.000980226	0.000895321	0.000821703	
0.36	1.92727	0.039882	0.0201609	0.0124222	0.012033	0.00639955	0.00491189	0.00391169	0.00320211	0.00316104	0.00230118	0.00198227	0.00173006	0.00152611	0.00135839	0.00121855	0.00110057	0.000999989	0.000913465	0.000838426	
