Numero de iteracoes: 13
Erro: 2.58235e-07
Tempo de Resolucao do Problema: 204.174 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	1.85983	0.034733	0.0169796	0.0101752	0.00999333	0.00501222	0.0037721	0.00295041	0.0023753	0.00235659	0.00165667	0.00140735	0.00121216	0.00105585	0.00092852	0.0008233	0.000735287	0.000660877	0.000597373	0.00054272	
0.25	1.87833	0.0368721	0.0184006	0.0112316	0.0109274	0.00571328	0.00436388	0.00346143	0.00282413	0.00278651	0.00201924	0.00173592	0.0015125	0.00133229	0.00118446	0.00106146	0.000957889	0.000869762	0.000794076	0.00072854	
0.5	1.90171	0.0385813	0.0194372	0.0119416	0.0115836	0.00612097	0.00468683	0.00372424	0.00304244	0.00300395	0.0021785	0.00187352	0.00163266	0.00143815	0.0012784	0.00114537	0.00103327	0.000937821	0.000855798	0.000784739	
0.75	1.92971	0.0400153	0.0202727	0.0125031	0.0121068	0.00644427	0.00494674	0.00393998	0.00322587	0.00318461	0.00231953	0.00199877	0.00174513	0.00154003	0.00137138	0.00123076	0.00111211	0.00101095	0.000923913	0.000848419	
1	1.96224	0.041268	0.0209939	0.0129881	0.0125577	0.00672418	0.00517083	0.0041243	0.00338045	0.00333821	0.00243394	0.00209804	0.00183203	0.00161666	0.00143936	0.00129138	0.00116642	0.0010598	0.000968016	0.000888362	
1.25	1.99936	0.0423969	0.0216434	0.0134257	0.0129633	0.00697505	0.00537045	0.00428748	0.00351665	0.00347379	0.00253443	0.00218542	0.00190891	0.00168497	0.00150056	0.00134662	0.00121661	0.00110569	0.00101018	0.0009273	
1.5	2.04128	0.0434374	0.0222432	0.0138298	0.0133369	0.00720469	0.00555246	0.0044358	0.00364013	0.00359665	0.00262506	0.00226397	0.00197772	0.00174576	0.00155465	0.00139504	0.00126017	0.00114505	0.0010459	0.00095981	
1.75	2.08838	0.0444117	0.0228056	0.0142079	0.0136856	0.00741809	0.00572129	0.0045732	0.0037544	0.00371009	0.00270881	0.00233656	0.00204135	0.00180204	0.00160484	0.00144011	0.0013009	0.00118207	0.00107972	0.000990856	
2	2.14122	0.0453331	0.0233373	0.0145645	0.0140134	0.00761846	0.00587976	0.00470215	0.00386165	0.00381617	0.00278741	0.00240473	0.00210113	0.00185494	0.00165201	0.00148245	0.00133913	0.00121676	0.00111133	0.00101979	
2.25	2.20056	0.0462093	0.0238423	0.0149023	0.0143226	0.00780772	0.00602949	0.00482408	0.00396315	0.00391607	0.00286189	0.00246942	0.00215793	0.0019053	0.001697	0.00152294	0.00137579	0.00125015	0.00114189	0.00104789	
