Numero de iteracoes: 13
Erro: 2.58801e-07
Tempo de Resolucao do Problema: 5860.16 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	1.86254	0.034712	0.0169704	0.0101706	0.00998781	0.00501063	0.00377109	0.00294976	0.00237487	0.00235601	0.00165648	0.00140722	0.00121207	0.00105579	0.000928471	0.000823257	0.000735244	0.000660831	0.00059732	0.00054266	
0.25	1.8774	0.0371358	0.0185341	0.0113107	0.0110063	0.00574973	0.00439012	0.00348106	0.00283926	0.00280179	0.00202898	0.0017439	0.00151914	0.00133791	0.00118926	0.00106562	0.000961527	0.000872973	0.000796936	0.000731106	
0.5	1.90107	0.0386846	0.0194341	0.0119161	0.0115698	0.00609476	0.00466422	0.00370505	0.00302623	0.00298812	0.0021667	0.00186345	0.00162399	0.00143063	0.00127183	0.0011396	0.00102817	0.000933279	0.000851733	0.00078108	
0.75	1.93025	0.0400373	0.0202604	0.0124976	0.0120991	0.00645072	0.00495537	0.00394942	0.00323537	0.003193	0.00232819	0.0020068	0.00175252	0.00154681	0.00137759	0.00123645	0.00111732	0.00101573	0.000928315	0.000852478	
1	1.96385	0.04125	0.0209744	0.0129767	0.0125458	0.00671736	0.00516426	0.00411771	0.00337386	0.00333224	0.00242751	0.00209185	0.00182612	0.00161105	0.00143406	0.00128639	0.00116173	0.0010554	0.000963883	0.000884484	
1.25	2.00163	0.0423597	0.021625	0.0134187	0.0129539	0.00697547	0.00537225	0.00429014	0.00351988	0.00347629	0.00253832	0.00218945	0.00191301	0.00168907	0.00150463	0.00135062	0.00122052	0.00110948	0.00101386	0.000930849	
1.5	2.04362	0.0433893	0.0222244	0.013821	0.013327	0.00719989	0.00554806	0.00443156	0.00363596	0.00359277	0.00262094	0.00225992	0.00197374	0.00174185	0.00155083	0.00139131	0.00125654	0.00114152	0.00104247	0.000956495	
1.75	2.09009	0.0443536	0.0227833	0.014196	0.0136734	0.00741284	0.00571788	0.00457116	0.0037534	0.00370862	0.00270922	0.00233746	0.00204261	0.00180359	0.0016066	0.00144204	0.00130295	0.00118421	0.00108191	0.000993089	
2	2.14142	0.0452618	0.0233078	0.0145467	0.0139966	0.00760846	0.00587157	0.00469514	0.00385542	0.00381021	0.00278206	0.00239969	0.00209633	0.00185035	0.00164759	0.0014782	0.00133502	0.00121278	0.00110748	0.00101606	
2.25	2.19813	0.0461194	0.0238015	0.0148764	0.0142991	0.00779369	0.00601878	0.00481581	0.00395673	0.00390956	0.00285802	0.00246645	0.0021557	0.00190366	0.00169586	0.0015222	0.00137538	0.00125001	0.00114199	0.00104818	
2.5	2.26096	0.0469291	0.0242661	0.015186	0.0145817	0.00796555	0.00615397	0.00492506	0.00404684	0.00399837	0.00292262	0.00252184	0.00220368	0.00194557	0.00173273	0.00155485	0.00140445	0.00127602	0.00116536	0.00106926	
2.75	2.3309	0.0476908	0.0247014	0.0154758	0.0148446	0.00812796	0.00628328	0.00503125	0.00413616	0.00408497	0.00298978	0.00258105	0.00225651	0.00199319	0.00177601	0.00159447	0.00144097	0.00130985	0.00119687	0.00109874	
3	2.40947	0.0484014	0.025105	0.0157424	0.0150853	0.00827303	0.00639679	0.00512263	0.00421133	0.00415818	0.0030434	0.00262704	0.00229636	0.00202801	0.00180667	0.00162164	0.00146518	0.00133154	0.00121638	0.00111636	
3.25	2.49919	0.0490542	0.0254734	0.015987	0.0153032	0.00840989	0.00650601	0.00521248	0.00428704	0.00423041	0.00310042	0.00267747	0.00234152	0.00206887	0.00184397	0.00165595	0.00149696	0.00136115	0.00124411	0.00114245	
3.5	2.60518	0.0496375	0.0257889	0.0161862	0.0154822	0.00850954	0.00658153	0.00527144	0.00433413	0.00427564	0.00313192	0.00270373	0.00236363	0.00208761	0.00185996	0.00166967	0.00150877	0.00137136	0.00125296	0.00115013	
3.75	2.73971	0.0501347	0.0260663	0.0163672	0.0156391	0.00860567	0.00665681	0.00533229	0.0043846	0.00432256	0.00316878	0.0027361	0.00239245	0.0021136	0.00188365	0.00169148	0.00152901	0.00139028	0.00127077	0.00116699	
4	2.93596	0.0502595	0.0260685	0.0163285	0.0156096	0.00854065	0.00659063	0.0052666	0.00432029	0.00426244	0.00310736	0.00267697	0.00233548	0.00205869	0.00183068	0.00164035	0.00147962	0.00134253	0.00122456	0.00112225	
4.25	3.26291	0.0510272	0.0264465	0.0165452	0.0157957	0.0086217	0.00664176	0.0052977	0.00433754	0.00427637	0.00310668	0.00267132	0.00232608	0.00204647	0.00181635	0.00162443	0.00146251	0.00132455	0.00120594	0.00110318	
4.5	3.43647	0.0521416	0.027096	0.0169867	0.0161774	0.00887641	0.00684727	0.00546817	0.00448198	0.00441141	0.00321565	0.00276757	0.00241194	0.00212372	0.00188635	0.00168827	0.00152107	0.00137852	0.00125592	0.00114965	
4.75	3.56552	0.0530292	0.0275784	0.0172976	0.0164522	0.00904126	0.00697585	0.00557159	0.00456714	0.00449182	0.00327652	0.00282014	0.00245786	0.00216422	0.00192239	0.00172059	0.00155024	0.00140502	0.00128012	0.00117186	
5	3.6619	0.0538135	0.0280242	0.0175986	0.016715	0.00921524	0.00711634	0.0056882	0.00466598	0.00458508	0.00335109	0.0028859	0.00251641	0.00221676	0.00196986	0.00176372	0.00158964	0.00144117	0.00131343	0.00120265	
