Numero de iteracoes: 24
Erro: 9.44707e-07
Tempo de Resolucao do Problema: 6449.18 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
0	0.507947	0.0159361	0.0118712	0.0119475	0.012231	0.0128525	0.0091786	0.0099924	0.0112716	0.0133532	0.0169295	0.0231658	0.00917077	0.00819085	0.00576006	0.0016388	0.000414807	2.84237e-05	4.18369e-06	
0.0285714	0.476822	0.017358	0.0129497	0.0130517	0.0133834	0.0140912	0.0100838	0.0110004	0.0124412	0.0147905	0.0188461	0.0259903	0.0103174	0.00934175	0.0067505	0.00201064	0.000551164	4.20499e-05	6.96224e-06	
0.0571429	0.453733	0.0182107	0.0136007	0.0137229	0.0140898	0.0148577	0.0106484	0.011633	0.0131792	0.0157012	0.0200633	0.0277902	0.0111554	0.0101848	0.00747345	0.00228089	0.000646936	5.13909e-05	8.76863e-06	
0.0857143	0.434505	0.0188008	0.0140581	0.0142015	0.0146014	0.0154222	0.01107	0.0121107	0.0137423	0.0164029	0.0210096	0.0292028	0.0118731	0.0109113	0.0080975	0.00251479	0.000728557	5.9251e-05	1.02492e-05	
0.114286	0.417554	0.0192392	0.0144035	0.014568	0.0149992	0.0158676	0.0114066	0.0124954	0.0141996	0.0169766	0.0217874	0.0303703	0.0125091	0.0115583	0.00865472	0.00272469	0.000801008	6.61557e-05	1.15261e-05	
0.142857	0.40219	0.0195734	0.014671	0.0148561	0.0153163	0.0162279	0.0116819	0.0128126	0.0145793	0.017456	0.0224404	0.0313551	0.0130809	0.012143	0.00916017	0.00291616	0.000866528	7.23452e-05	1.26554e-05	
0.171429	0.388057	0.0198284	0.014879	0.0150837	0.0155709	0.0165215	0.0119088	0.0130765	0.0148977	0.0178605	0.0229943	0.0321953	0.0135991	0.0126758	0.00962262	0.00309236	0.000926394	7.79586e-05	1.36694e-05	
0.2	0.374937	0.0200199	0.0150391	0.0152624	0.0157747	0.0167609	0.0120964	0.0132967	0.0151657	0.0182036	0.0234669	0.0329164	0.0140709	0.0131638	0.0100478	0.00325536	0.000981435	8.30871e-05	1.45889e-05	
0.228571	0.362676	0.0201592	0.0151595	0.0154006	0.0159364	0.0169551	0.012251	0.0134804	0.0153915	0.018495	0.023871	0.0335369	0.0145016	0.013612	0.01044	0.00340659	0.00103224	8.77955e-05	1.54283e-05	
0.257143	0.35116	0.0202548	0.0152467	0.0155047	0.0160623	0.0171108	0.0123774	0.0136328	0.0155811	0.018742	0.0242161	0.0340709	0.0148955	0.0140242	0.0108023	0.00354717	0.00107924	9.21324e-05	1.61983e-05	
0.285714	0.340301	0.0203133	0.0153056	0.0155796	0.0161576	0.0172334	0.0124797	0.0137581	0.0157392	0.0189505	0.02451	0.0345294	0.0152558	0.0144036	0.0111373	0.00367795	0.0011228	9.61358e-05	1.69068e-05	
0.314286	0.330025	0.02034	0.0153402	0.0156294	0.0162264	0.0173273	0.0125607	0.0138598	0.0158698	0.0191251	0.0247586	0.0349211	0.0155852	0.0147528	0.011447	0.00379965	0.00116319	9.98364e-05	1.75602e-05	
