Numero de iteracoes: 24
Erro: 9.44712e-07
Tempo de Resolucao do Problema: 1357.23 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
0	0.507947	0.0159368	0.0118721	0.0119488	0.0122326	0.0128545	0.00918007	0.00999409	0.0112736	0.0133557	0.0169328	0.0231705	0.00917031	0.0081904	0.00575954	0.00163858	0.000414727	2.84174e-05	4.18246e-06	
0.05	0.460294	0.0179686	0.0134216	0.0135432	0.0139057	0.0146634	0.0105085	0.0114792	0.0130032	0.0154885	0.0197854	0.0273883	0.0109585	0.00998831	0.00730498	0.0022175	0.000624597	4.92257e-05	8.35505e-06	
0.1	0.42595	0.0190414	0.0142486	0.014404	0.0148212	0.0156677	0.011255	0.0123213	0.0139917	0.0167144	0.0214295	0.029828	0.0122019	0.0112443	0.00838335	0.00262223	0.000765736	6.28026e-05	1.09086e-05	
0.15	0.398354	0.0196632	0.0147416	0.0149307	0.015397	0.0163177	0.0117495	0.0128896	0.0146704	0.0175696	0.0225933	0.0315832	0.0132157	0.012281	0.00927966	0.00296153	0.000881979	7.37977e-05	1.29187e-05	
0.2	0.37475	0.020034	0.0150481	0.0152701	0.0157813	0.0167664	0.0120995	0.0132995	0.0151682	0.0182058	0.0234691	0.0329186	0.0140712	0.0131641	0.010048	0.00325537	0.00098144	8.30874e-05	1.4589e-05	
0.25	0.35387	0.0202425	0.0152325	0.0154854	0.0160369	0.0170776	0.0123496	0.0135986	0.0155379	0.0186852	0.0241363	0.0339469	0.0148008	0.0139248	0.0107147	0.00351302	0.00106784	9.10819e-05	1.60121e-05	
0.3	0.335054	0.0203344	0.0153281	0.0156094	0.0161967	0.0172851	0.0125235	0.0138126	0.0158087	0.0190429	0.0246411	0.0347354	0.0154248	0.0145824	0.0112955	0.00373998	0.0011434	9.80243e-05	1.72404e-05	
0.35	0.317906	0.0203376	0.0153555	0.0156625	0.0162814	0.0174107	0.012637	0.0139587	0.0160002	0.0193027	0.025015	0.0353304	0.0159578	0.0151507	0.0118017	0.00394003	0.00120961	0.000104078	1.83075e-05	
0.4	0.302159	0.0202713	0.015329	0.0156593	0.016306	0.0174703	0.0127013	0.0140493	0.0161267	0.019482	0.0252811	0.0357654	0.0164112	0.0156403	0.0122418	0.00411605	0.00126759	0.00010936	1.92367e-05	
0.45	0.287615	0.0201494	0.0152591	0.0156104	0.0162816	0.0174755	0.012725	0.014094	0.016199	0.019594	0.0254569	0.0360662	0.0167938	0.0160596	0.0126226	0.00427037	0.00131823	0.000113964	2.00453e-05	
0.5	0.274121	0.0199829	0.015154	0.0155242	0.0162168	0.0174358	0.0127148	0.0141001	0.0162259	0.0196493	0.0255562	0.0362528	0.0171133	0.0164157	0.0129499	0.00440493	0.00136225	0.000117962	2.07467e-05	
0.55	0.261554	0.0197802	0.0150202	0.0154074	0.0161186	0.0173585	0.0126762	0.0140737	0.016214	0.0196561	0.0255901	0.0363416	0.017376	0.0167146	0.0132284	0.00452144	0.00140028	0.000121415	2.13522e-05	
0.6	0.249812	0.0195483	0.014863	0.0152654	0.0159926	0.0172497	0.0126135	0.0140196	0.0161692	0.0196214	0.0255677	0.0363458	0.0175874	0.0169617	0.0134626	0.00462138	0.00143285	0.000124375	2.18709e-05	
0.65	0.23881	0.0192927	0.0146866	0.0151025	0.0158435	0.0171142	0.0125304	0.0139419	0.0160959	0.0195509	0.0254965	0.0362767	0.0177524	0.0171615	0.0136563	0.0047061	0.00146044	0.000126886	2.23108e-05	
0.7	0.228475	0.0190179	0.0144945	0.0149223	0.0156749	0.0169564	0.0124299	0.013844	0.0159983	0.0194494	0.025383	0.0361436	0.0178753	0.0173182	0.013813	0.00477683	0.00148348	0.000128988	2.26788e-05	
0.75	0.218747	0.0187279	0.0142896	0.014728	0.0154901	0.0167795	0.0123145	0.0137286	0.0158795	0.019321	0.0252327	0.0359548	0.0179599	0.0174356	0.0139357	0.00483468	0.00150233	0.000130717	2.29812e-05	
0.8	0.209573	0.0184258	0.0140745	0.0145219	0.0152919	0.0165865	0.0121865	0.0135983	0.0157425	0.0191692	0.0250503	0.0357172	0.0180099	0.0175171	0.0140273	0.00488066	0.00151736	0.000132103	2.32235e-05	
0.85	0.200905	0.0181141	0.0138511	0.0143063	0.0150824	0.0163801	0.0120477	0.0134551	0.0155896	0.0189971	0.0248398	0.035437	0.0180282	0.0175658	0.0140903	0.00491573	0.00152887	0.000133176	2.34109e-05	
0.9	0.192704	0.0177952	0.0136211	0.014083	0.0148637	0.0161623	0.0118997	0.0133009	0.0154232	0.0188073	0.024605	0.0351194	0.0180178	0.0175845	0.0141273	0.00494076	0.00153716	0.000133962	2.35478e-05	
0.95	0.184934	0.0174709	0.0133862	0.0138536	0.0146374	0.015935	0.0117439	0.0131374	0.015245	0.0186023	0.0243489	0.0347694	0.0179813	0.0175757	0.0141404	0.00495655	0.0015425	0.000134485	2.36385e-05	
1	0.177563	0.0171429	0.0131474	0.0136194	0.014405	0.0156999	0.0115816	0.0129658	0.0150568	0.0183841	0.0240743	0.0343909	0.017921	0.017542	0.0141315	0.00496386	0.00154512	0.000134766	2.36868e-05	
1.05	0.170562	0.0168125	0.012906	0.0133816	0.0141678	0.0154583	0.0114138	0.0127874	0.01486	0.0181544	0.0237838	0.0339878	0.0178393	0.0174855	0.0141027	0.00496337	0.00154527	0.000134826	2.36964e-05	
1.1	0.163906	0.0164809	0.0126629	0.0131411	0.0139269	0.0152116	0.0112415	0.0126034	0.0146558	0.0179151	0.0234795	0.0335633	0.017738	0.0174081	0.0140555	0.00495574	0.00154314	0.000134684	2.36705e-05	
1.15	0.157572	0.0161491	0.0124188	0.0128989	0.0136833	0.0149608	0.0110656	0.0124147	0.0144455	0.0176674	0.0231634	0.0331205	0.017619	0.0173119	0.0139917	0.00494157	0.00153893	0.000134357	2.36121e-05	
1.2	0.151539	0.015818	0.0121745	0.0126557	0.0134377	0.014707	0.0108867	0.0122221	0.01423	0.0174127	0.0228373	0.032662	0.017484	0.0171984	0.0139127	0.00492142	0.00153283	0.000133861	2.35241e-05	
1.25	0.145788	0.0154883	0.0119306	0.0124123	0.013191	0.0144508	0.0107056	0.0120264	0.0140104	0.0171522	0.0225028	0.0321901	0.0173346	0.0170694	0.01382	0.00489582	0.001525	0.00013321	2.3409e-05	
1.3	0.140301	0.0151607	0.0116877	0.012169	0.0129437	0.0141932	0.0105228	0.0118283	0.0137873	0.0168869	0.0221612	0.0317071	0.0171723	0.0169263	0.0137147	0.00486523	0.00151559	0.00013242	2.32694e-05	
1.35	0.135064	0.0148357	0.011446	0.0119266	0.0126965	0.0139347	0.0103388	0.0116284	0.0135616	0.0166177	0.0218139	0.0312149	0.0169984	0.0167705	0.0135981	0.00483013	0.00150476	0.000131502	2.31074e-05	
1.4	0.13006	0.0145137	0.0112061	0.0116853	0.0124499	0.0136761	0.0101542	0.0114272	0.0133339	0.0163455	0.021462	0.0307152	0.016814	0.0166033	0.0134713	0.00479093	0.00149263	0.000130469	2.29251e-05	
1.45	0.125277	0.0141953	0.0109684	0.0114457	0.0122043	0.0134176	0.00996923	0.0112253	0.0131048	0.0160711	0.0211065	0.0302096	0.0166204	0.0164258	0.0133353	0.00474801	0.00147932	0.000129331	2.27245e-05	
1.5	0.120703	0.0138806	0.010733	0.0112079	0.01196	0.01316	0.00978435	0.011023	0.0128749	0.0157951	0.0207485	0.0296995	0.0164187	0.0162391	0.013191	0.00470175	0.00146496	0.000128098	2.25074e-05	
1.55	0.116325	0.0135701	0.0105002	0.0109724	0.0117175	0.0129035	0.00959989	0.0108208	0.0126445	0.0155181	0.0203886	0.0291862	0.0162097	0.0160443	0.0130394	0.00465249	0.00144966	0.000126781	2.22755e-05	
1.6	0.112134	0.0132638	0.0102703	0.0107393	0.011477	0.0126485	0.00941612	0.010619	0.0124142	0.0152407	0.0200278	0.0286709	0.0159943	0.0158423	0.0128813	0.00460053	0.0014335	0.000125388	2.20302e-05	
1.65	0.108118	0.0129622	0.0100434	0.0105088	0.0112387	0.0123953	0.0092333	0.0104178	0.0121843	0.0149634	0.0196666	0.0281547	0.0157735	0.015634	0.0127175	0.00454618	0.00141659	0.000123928	2.17731e-05	
1.7	0.10427	0.0126652	0.00981964	0.0102813	0.011003	0.0121443	0.00905166	0.0102177	0.0119551	0.0146866	0.0193058	0.0276384	0.015548	0.0154201	0.0125485	0.0044897	0.00139901	0.000122407	2.15054e-05	
1.75	0.100581	0.0123731	0.00959922	0.0100567	0.01077	0.0118956	0.00887142	0.0100187	0.0117271	0.0144107	0.0189458	0.0271229	0.0153185	0.0152015	0.0123752	0.00443135	0.00138084	0.000120833	2.12285e-05	
1.8	0.097042	0.0120859	0.00938222	0.00983531	0.0105398	0.0116495	0.00869273	0.00982126	0.0115003	0.0141361	0.0185872	0.026609	0.0150856	0.0149789	0.0121981	0.00437136	0.00136216	0.000119213	2.09435e-05	
1.85	0.0936461	0.0118037	0.00916872	0.00961715	0.0103126	0.0114062	0.00851578	0.00962542	0.0112752	0.0138632	0.0182304	0.0260974	0.01485	0.0147528	0.0120178	0.00430995	0.00134302	0.000117553	2.06514e-05	
1.9	0.0903863	0.0115267	0.00895878	0.00940234	0.0100886	0.0111658	0.00834068	0.0094314	0.0110519	0.0135922	0.0178758	0.0255888	0.0146122	0.0145239	0.0118347	0.00424732	0.00132351	0.000115858	2.03533e-05	
1.95	0.0872559	0.0112548	0.00875246	0.00919096	0.00986781	0.0109285	0.00816758	0.00923935	0.0108306	0.0133233	0.0175239	0.0250836	0.0143727	0.0142927	0.0116494	0.00418366	0.00130367	0.000114133	2.005e-05	
2	0.0842488	0.010988	0.00854981	0.00898306	0.00965035	0.0106943	0.00799657	0.0090494	0.0106114	0.0130569	0.0171749	0.0245824	0.014132	0.0140598	0.0114624	0.00411915	0.00128356	0.000112384	1.97424e-05	
2.05	0.0813592	0.0107264	0.00835084	0.0087787	0.00943628	0.0104635	0.00782774	0.00886167	0.0103946	0.012793	0.016829	0.0240857	0.0138906	0.0138255	0.0112739	0.00405394	0.00126323	0.000110615	1.94313e-05	
2.1	0.0785816	0.01047	0.00815558	0.0085779	0.00922567	0.010236	0.00766118	0.00867627	0.0101803	0.012532	0.0164867	0.0235938	0.0136488	0.0135904	0.0110845	0.00398819	0.00124273	0.00010883	1.91174e-05	
2.15	0.0759108	0.0102187	0.00796403	0.0083807	0.00901856	0.0100121	0.00749696	0.00849329	0.00996863	0.0122739	0.0161481	0.023107	0.013407	0.0133549	0.0108945	0.00392202	0.00122211	0.000107033	1.88015e-05	
2.2	0.0733421	0.00997263	0.0077762	0.0081871	0.00881498	0.0097916	0.00733513	0.0083128	0.00975961	0.0120189	0.0158134	0.0226258	0.0131656	0.0131192	0.0107041	0.00385558	0.00120139	0.000105227	1.8484e-05	
2.25	0.0708708	0.00973163	0.00759206	0.00799712	0.00861497	0.00957471	0.00717574	0.00813488	0.00955339	0.0117672	0.0154827	0.0221504	0.0129249	0.0128838	0.0105137	0.00378896	0.00118062	0.000103416	1.81657e-05	
2.3	0.0684926	0.00949569	0.00741162	0.00781076	0.00841853	0.00936142	0.00701884	0.00795957	0.00935004	0.0115188	0.0151564	0.021681	0.0126851	0.012649	0.0103236	0.00372229	0.00115983	0.000101603	1.78469e-05	
2.35	0.0662034	0.00926479	0.00723484	0.007628	0.00822568	0.00915176	0.00686444	0.00778692	0.00914962	0.0112738	0.0148344	0.0212179	0.0124465	0.012415	0.0101339	0.00365566	0.00113905	9.97901e-05	1.75283e-05	
2.4	0.0639993	0.00903885	0.0070617	0.00744883	0.00803641	0.00894575	0.00671259	0.00761697	0.00895218	0.0110323	0.0145169	0.0207611	0.0122094	0.0121821	0.00994503	0.00358916	0.00111831	9.79803e-05	1.72101e-05	
