Numero de iteracoes: 12
Erro: 9.4958e-07
Tempo de Resolucao do Problema: 889.744 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19	Grupo de Energia 20
0	0.505574	0.0019117	0.00101442	0.000645839	0.000628374	0.000347319	0.000271551	0.000219736	0.000182428	0.00018211	0.000134128	0.000116764	0.00010289	9.15656e-05	8.21724e-05	7.42769e-05	6.75648e-05	6.18022e-05	5.68112e-05	5.24548e-05	
0.25	0.479088	0.00263788	0.00149008	0.000995112	0.000920054	0.000571794	0.000460042	0.000381566	0.000323742	0.000313191	0.000246362	0.000218036	0.000195008	0.000175922	0.000159868	0.000146199	0.000134439	0.000124228	0.000115291	0.000107413	
0.5	0.457586	0.00311752	0.00177361	0.00118719	0.00108905	0.000681005	0.000547201	0.000453032	0.000383558	0.000370783	0.000290404	0.000256366	0.000228685	0.000205746	0.000186457	0.000170042	0.000155927	0.00014368	0.000132969	0.000123534	
0.75	0.43939	0.00348048	0.00198857	0.00133567	0.00121941	0.000769642	0.000619497	0.000513512	0.000435115	0.000420156	0.000329662	0.000291035	0.000259578	0.000233478	0.000211512	0.000192805	0.000176709	0.000162738	0.000150514	0.000139746	
1	0.423472	0.00377506	0.00216185	0.00145278	0.0013245	0.000834675	0.00067023	0.000554034	0.000468073	0.000452883	0.000352554	0.000310308	0.000275953	0.000247494	0.000223581	0.00020325	0.000185787	0.000170656	0.00015744	0.000145818	
1.25	0.409189	0.00402183	0.00230409	0.00154657	0.00141047	0.000885249	0.00070951	0.000585486	0.000493858	0.000478518	0.000371003	0.000326125	0.000289675	0.000259511	0.00023419	0.000212682	0.000194224	0.000178244	0.000164298	0.000152043	
1.5	0.396135	0.00423131	0.0024217	0.00162223	0.0014813	0.000924348	0.000739077	0.000608425	0.00051198	0.000497083	0.000382885	0.000335771	0.000297553	0.000265969	0.000239492	0.000217032	0.000197786	0.000181147	0.000166648	0.000153925	
1.75	0.384045	0.00441	0.00251913	0.00168327	0.00153975	0.000954493	0.000761355	0.000625367	0.000525152	0.000510805	0.000391415	0.000342696	0.00030325	0.000270706	0.000243468	0.000220399	0.000200658	0.000183614	0.00016878	0.000155779	
2	0.37274	0.00456247	0.00259964	0.00173224	0.00158785	0.000977337	0.000777668	0.000637305	0.000534024	0.000520398	0.00039654	0.000346516	0.000306071	0.000272747	0.000244891	0.000221327	0.000201187	0.000183819	0.000168722	0.000155505	
2.25	0.362097	0.00469221	0.00266571	0.001771	0.00162707	0.000994121	0.000789097	0.000645235	0.000539571	0.000526707	0.000399346	0.000348417	0.000307318	0.000273514	0.000245305	0.000221479	0.000201146	0.000183636	0.000168436	0.000155147	
